"region","pop_2022","base.cost","deaths_2022","deaths_2030"
"LIC",662.33,1.79456595201368,1.66026193291246,2.05987169052959
"LMIC",3325.9,40.7112597392909,13.6499301685124,16.3792717846246
"LIC+LMIC",3988.23,42.5058256913045,15.3101921014249,18.4391434751542
