"wb2021","inc.cost","cost.pc","prop_reached","deaths.avert","dalys.avert","benefit","forgone.surplus","BCR"
"LIC",20.7836120149976,6.73499103117053,"48.1481481481481%",3.14895039073808,27.890454858007,39.6899652841935,0.0156682060906755,1.90823744198379
"LMIC",239.518510320813,19.7148496818862,"48%",23.7119180812345,173.372450387848,1099.69356915182,0.734689583485862,4.57722756487683
"LIC+LMIC",260.30212233581,17.4053109548808,"48.0519480519481%",26.8608684719726,201.262905245855,1063.60029364198,0.669862672659499,4.07553436667717
