ISO3,ParentLocation,Country,MD_per_10K,N_mper_10K,total_HRH,SBA.coverage,UHC_idex,GNI_2020,conflict_frag,HSP,,,,,,,
GNB,Africa,Guinea-Bissau,1.96,7.91,9.87,53.8,37,1980,fragile,fragile,,,,,,,
GNQ,Africa,Equatorial Guinea,4.02,5.02,9.04,68.3,43,13400,neither, HS3,,,,,,,
GRC,Europe,Greece,63.07,37.34,100.41,99.9,78,27830,neither, HS3,,,,,,,
GRD,Americas,Grenada,14.36,62.84,77.2,100,70,14630,neither, HS3,,,,,,,
GTM,Americas,Guatemala,12.41,22.36,34.77,69.6,57,8690,neither,  HS2 ,,,,,,,
GUY,Americas,Guyana,14.24,35.3,49.54,97.6,74,19140,neither, HS3,,,,,,,
HND,Americas,Honduras,3.09,7.31,10.4,94.1,63,5040,neither, HS3,,,,,,,
HRV,Europe,Croatia,32.09,81.22,113.31,99.96,73,29460,neither, HS3,,,,,,,
HTI,Americas,Haiti,2.34,3.98,6.32,41.6,47,3100,fragile,fragile,,,,,,,
HUN,Europe,Hungary,35.25,69.2,104.45,99.7,73,32390,neither, HS3,,,,,,,
IDN,South-East Asia,Indonesia,6.23,39.54,45.77,94.7,59,11750,neither, HS3,,,,,,,
IND,South-East Asia,India,7.35,17.48,24.83,89.4,61,6440,neither,  HS2 ,,,,,,,
IRL,Europe,Ireland,33.52,179.8,213.32,99.7,83,71040,neither, HS3,,,,,,,
IRN,Eastern Mediterranean,Iran (Islamic Republic of),15.84,20.77,36.61,99,77,15760,neither, HS3,,,,,,,
IRQ,Eastern Mediterranean,Iraq,9.66,23.87,33.53,95.6,55,9840,conflict,conflict,,,,,,,
ISL,Europe,Iceland,41.42,171.9,213.32,97.4,87,52030,neither, HS3,,,,,,,
ITA,Europe,Italy,39.48,62.71,102.19,99.8,83,42510,neither, HS3,,,,,,,
JAM,Americas,Jamaica,5.27,9.43,14.7,99.7,70,8940,neither, HS3,,,,,,,
JOR,Eastern Mediterranean,Jordan,26.61,33.47,60.08,99.7,60,10320,neither, HS3,,,,,,,
JPN,Western Pacific,Japan,24.8,119.5,144.3,99.9,85,43630,neither, HS3,,,,,,,
KAZ,Europe,Kazakhstan,39.68,72.94,112.62,99.9,76,24410,neither, HS3,,,,,,,
KEN,Africa,Kenya,1.57,11.66,13.23,70.2,56,4510,neither,HS2 ,,,,,,,
KGZ,Europe,Kyrgyzstan,22.13,59.45,81.58,99.8,70,4820,neither,HS2,,,,,,,
KHM,Western Pacific,Cambodia,1.93,9.62,11.55,89,61,4250,neither,HS2 ,,,,,,,
KIR,Western Pacific,Kiribati,2.04,57.46,59.5,91.9,51,4050,neither,HS2 ,,,,,,,
KNA,Americas,Saint Kitts and Nevis,26.76,42.19,68.95,100,72,25300,neither, HS3,,,,,,,
KOR,Western Pacific,Republic of Korea,24.84,81.78,106.62,100,87,45570,neither, HS3,,,,,,,
KWT,Eastern Mediterranean,Kuwait,23.42,46.83,70.25,99.9,70,NA,neither,NA,,,,,,,
LAO,Western Pacific,Lao People's Democratic Republic,3.54,11.9,15.44,64.4,50,7750,neither,  HS2 ,,,,,,,
LBN,Eastern Mediterranean,Lebanon,21.04,16.74,37.78,98.2,72,10860,fragile,fragile,,,,,,,
LBR,Africa,Liberia,0.51,19.54,20.05,84.4,42,1390,neither,HS1   ,,,,,,,
LBY,Eastern Mediterranean,Libya,20.91,65.31,86.22,99.9,60,17370,fragile,fragile,,,,,,,
LCA,Americas,Saint Lucia,6.41,31.55,37.96,100,72,12450,neither, HS3,,,,,,,
LKA,South-East Asia,Sri Lanka,12.29,24.95,37.24,99.5,67,12850,neither, HS3,,,,,,,
LSO,Africa,Lesotho,4.73,32.57,37.3,86.6,48,2870,neither,  HS2 ,,,,,,,
LTU,Europe,Lithuania,50.76,100.8,151.56,100,70,37760,neither, HS3,,,,,,,
LUX,Europe,Luxembourg,30.07,121.7,151.77,99.9,86,83230,neither, HS3,,,,,,,
