Region,Super_region,iso3,LocID,SDI,World_bank_2015,countryname_WB,countryname_WHO,countryname_GBD,HLI_group,NCD_region,location_name
Central Sub-Saharan Africa,Sub-Saharan Africa,CAF,140,Low SDI,LIC,Central African Republic,Central African Republic,Central African Republic,Sub-Saharan Africa,Sub-Saharan Africa,Central African Republic
Western Sub-Saharan Africa,Sub-Saharan Africa,TCD,148,Low SDI,LIC,Chad,Chad,Chad,Sub-Saharan Africa,Sub-Saharan Africa,Chad
Southern Latin America,High-income,CHL,152,High-middle SDI,HIC,Chile,Chile,Chile,High-income,Latin America and Caribbean,Chile
East Asia,"Southeast Asia, East Asia, and Oceania",CHN,156,Middle SDI,UMIC,China,China,China,China,East and South East Asia,China
Central Latin America,Latin America and Caribbean,COL,170,Middle SDI,UMIC,Colombia,Colombia,Colombia,Latin America and the Caribbean,Latin America and Caribbean,Colombia
Eastern Sub-Saharan Africa,Sub-Saharan Africa,COM,174,Low SDI,LIC,Comoros,Comoros,Comoros,Sub-Saharan Africa,Sub-Saharan Africa,Comoros
Central Sub-Saharan Africa,Sub-Saharan Africa,COG,178,Low-middle SDI,LMIC,"Congo, Rep.",Congo,Congo,Sub-Saharan Africa,Sub-Saharan Africa,Congo
Central Latin America,Latin America and Caribbean,CRI,188,Middle SDI,UMIC,Costa Rica,Costa Rica,Costa Rica,Latin America and the Caribbean,Latin America and Caribbean,Costa Rica
Western Sub-Saharan Africa,Sub-Saharan Africa,CIV,384,Low SDI,LMIC,Cote d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,Sub-Saharan Africa,Sub-Saharan Africa,Cote d'Ivoire
Central Europe,"Central Europe, Eastern Europe, and Central Asia",HRV,191,High SDI,HIC,Croatia,Croatia,Croatia,Eurasia and the Mediterranean,Central and Eastern Europe,Croatia
Caribbean,Latin America and Caribbean,CUB,192,High-middle SDI,UMIC,Cuba,Cuba,Cuba,Latin America and the Caribbean,Latin America and Caribbean,Cuba
Western Europe,High-income,CYP,196,High SDI,HIC,Cyprus,Cyprus,Cyprus,High-income,High-income Western countries,Cyprus
Central Europe,"Central Europe, Eastern Europe, and Central Asia",CZE,203,High SDI,HIC,Czech Republic,Czechia,Czechia,High-income,Central and Eastern Europe,Czech Republic
Central Sub-Saharan Africa,Sub-Saharan Africa,COD,180,Low SDI,LIC,"Congo, Dem. Rep.",Democratic Republic of the Congo,Democratic Republic of the Congo,Sub-Saharan Africa,Sub-Saharan Africa,Democratic Republic of the Congo
Western Europe,High-income,DNK,208,High SDI,HIC,Denmark,Denmark,Denmark,High-income,High-income Western countries,Denmark
Eastern Sub-Saharan Africa,Sub-Saharan Africa,DJI,262,Low SDI,LMIC,Djibouti,Djibouti,Djibouti,Eurasia and the Mediterranean,Sub-Saharan Africa,Djibouti
Caribbean,Latin America and Caribbean,DMA,212,Middle SDI,UMIC,Dominica,NA,Dominica,NA,NA,Dominica
Caribbean,Latin America and Caribbean,DOM,214,Middle SDI,UMIC,Dominican Republic,Dominican Republic,Dominican Republic,Latin America and the Caribbean,Latin America and Caribbean,Dominican Republic
Andean Latin America,Latin America and Caribbean,ECU,218,Middle SDI,UMIC,Ecuador,Ecuador,Ecuador,Latin America and the Caribbean,Latin America and Caribbean,Ecuador
North Africa and Middle East,North Africa and Middle East,EGY,818,Middle SDI,LMIC,"Egypt, Arab Rep.",Egypt,Egypt,Eurasia and the Mediterranean,"Central Asia, Middle East and North Africa",Egypt
Central Latin America,Latin America and Caribbean,SLV,222,Middle SDI,LMIC,El Salvador,El Salvador,El Salvador,Latin America and the Caribbean,Latin America and Caribbean,El Salvador
Central Sub-Saharan Africa,Sub-Saharan Africa,GNQ,226,Middle SDI,UMIC,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Sub-Saharan Africa,Equatorial Guinea
Eastern Sub-Saharan Africa,Sub-Saharan Africa,ERI,232,Low SDI,LIC,Eritrea,Eritrea,Eritrea,Sub-Saharan Africa,Sub-Saharan Africa,Eritrea
Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",EST,233,High SDI,HIC,Estonia,Estonia,Estonia,High-income,Central and Eastern Europe,Estonia
Eastern Sub-Saharan Africa,Sub-Saharan Africa,ETH,231,Low SDI,LIC,Ethiopia,Ethiopia,Ethiopia,Sub-Saharan Africa,Sub-Saharan Africa,Ethiopia
Oceania,"Southeast Asia, East Asia, and Oceania",FSM,583,Low-middle SDI,LMIC,"Micronesia, Fed. Sts.",Micronesia (Fed. States of),Micronesia (Federated States of),NA,NA,Federated States of Micronesia
Oceania,"Southeast Asia, East Asia, and Oceania",FJI,242,Middle SDI,UMIC,Fiji,Fiji,Fiji,Eurasia and the Mediterranean,Oceania,Fiji
Western Europe,High-income,FIN,246,High SDI,HIC,Finland,Finland,Finland,High-income,High-income Western countries,Finland
Western Europe,High-income,FRA,250,High SDI,HIC,France,France,France,High-income,High-income Western countries,France
Central Sub-Saharan Africa,Sub-Saharan Africa,GAB,266,Low-middle SDI,UMIC,Gabon,Gabon,Gabon,Sub-Saharan Africa,Sub-Saharan Africa,Gabon
Central Asia,"Central Europe, Eastern Europe, and Central Asia",GEO,268,High-middle SDI,UMIC,Georgia,Georgia,Georgia,Eurasia and the Mediterranean,"Central Asia, Middle East and North Africa",Georgia
Western Europe,High-income,DEU,276,High SDI,HIC,Germany,Germany,Germany,High-income,High-income Western countries,Germany
Western Sub-Saharan Africa,Sub-Saharan Africa,GHA,288,Low-middle SDI,LMIC,Ghana,Ghana,Ghana,Sub-Saharan Africa,Sub-Saharan Africa,Ghana
Western Europe,High-income,GRC,300,High SDI,HIC,Greece,Greece,Greece,High-income,High-income Western countries,Greece
High-income North America,High-income,GRL,304,High-middle SDI,HIC,Greenland,NA,Greenland,NA,NA,Greenland
Caribbean,Latin America and Caribbean,GRD,308,Middle SDI,UMIC,Grenada,Grenada,Grenada,NA,NA,Grenada
Oceania,"Southeast Asia, East Asia, and Oceania",GUM,316,High-middle SDI,HIC,Guam,Guam,Guam,NA,NA,Guam
Central Latin America,Latin America and Caribbean,GTM,320,Low-middle SDI,LMIC,Guatemala,Guatemala,Guatemala,Latin America and the Caribbean,Latin America and Caribbean,Guatemala
Western Sub-Saharan Africa,Sub-Saharan Africa,GIN,324,Low SDI,LIC,Guinea,Guinea,Guinea,Sub-Saharan Africa,Sub-Saharan Africa,Guinea
Western Sub-Saharan Africa,Sub-Saharan Africa,GNB,624,Low SDI,LIC,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,Sub-Saharan Africa,Sub-Saharan Africa,Guinea-Bissau
Caribbean,Latin America and Caribbean,GUY,328,Middle SDI,UMIC,Guyana,Guyana,Guyana,Latin America and the Caribbean,Latin America and Caribbean,Guyana
Caribbean,Latin America and Caribbean,HTI,332,Low SDI,LIC,Haiti,Haiti,Haiti,Latin America and the Caribbean,Latin America and Caribbean,Haiti
Central Latin America,Latin America and Caribbean,HND,340,Low-middle SDI,LMIC,Honduras,Honduras,Honduras,Latin America and the Caribbean,Latin America and Caribbean,Honduras
Central Europe,"Central Europe, Eastern Europe, and Central Asia",HUN,348,High-middle SDI,HIC,Hungary,Hungary,Hungary,High-income,Central and Eastern Europe,Hungary
Western Europe,High-income,ISL,352,High SDI,HIC,Iceland,Iceland,Iceland,NA,High-income Western countries,Iceland
South Asia,South Asia,IND,356,Low-middle SDI,LMIC,India,India,India,India,South Asia,India
Southeast Asia,"Southeast Asia, East Asia, and Oceania",IDN,360,Middle SDI,LMIC,Indonesia,Indonesia,Indonesia,Eurasia and the Mediterranean,East and South East Asia,Indonesia
North Africa and Middle East,North Africa and Middle East,IRN,364,High-middle SDI,UMIC,"Iran, Islamic Rep.",Iran (Islamic Republic of),Iran (Islamic Republic of),Eurasia and the Mediterranean,"Central Asia, Middle East and North Africa",Iran
North Africa and Middle East,North Africa and Middle East,IRQ,368,Low-middle SDI,UMIC,Iraq,Iraq,Iraq,Eurasia and the Mediterranean,"Central Asia, Middle East and North Africa",Iraq
Western Europe,High-income,IRL,372,High SDI,HIC,Ireland,Ireland,Ireland,High-income,High-income Western countries,Ireland
Western Europe,High-income,ISR,376,High-middle SDI,HIC,Israel,Israel,Israel,High-income,High-income Western countries,Israel
Western Europe,High-income,ITA,380,High SDI,HIC,Italy,Italy,Italy,High-income,High-income Western countries,Italy
Caribbean,Latin America and Caribbean,JAM,388,Middle SDI,UMIC,Jamaica,Jamaica,Jamaica,Latin America and the Caribbean,Latin America and Caribbean,Jamaica
High-income Asia Pacific,High-income,JPN,392,High SDI,HIC,Japan,Japan,Japan,High-income,High-income Asia Pacific,Japan
North Africa and Middle East,North Africa and Middle East,JOR,400,Middle SDI,UMIC,Jordan,Jordan,Jordan,Eurasia and the Mediterranean,"Central Asia, Middle East and North Africa",Jordan
Central Asia,"Central Europe, Eastern Europe, and Central Asia",KAZ,398,High-middle SDI,UMIC,Kazakhstan,Kazakhstan,Kazakhstan,Eurasia and the Mediterranean,"Central Asia, Middle East and North Africa",Kazakhstan
Eastern Sub-Saharan Africa,Sub-Saharan Africa,KEN,404,Low-middle SDI,LMIC,Kenya,Kenya,Kenya,Sub-Saharan Africa,Sub-Saharan Africa,Kenya
Oceania,"Southeast Asia, East Asia, and Oceania",KIR,296,Low SDI,LMIC,Kiribati,Kiribati,Kiribati,NA,NA,Kiribati
North Africa and Middle East,North Africa and Middle East,KWT,414,High-middle SDI,HIC,Kuwait,Kuwait,Kuwait,High-income,"Central Asia, Middle East and North Africa",Kuwait
Central Asia,"Central Europe, Eastern Europe, and Central Asia",KGZ,417,Low-middle SDI,LMIC,Kyrgyz Republic,Kyrgyzstan,Kyrgyzstan,Eurasia and the Mediterranean,"Central Asia, Middle East and North Africa",Kyrgyzstan
Southeast Asia,"Southeast Asia, East Asia, and Oceania",LAO,418,Low-middle SDI,LMIC,Lao PDR,Lao People's Democratic Republic,Lao People's Democratic Republic,Eurasia and the Mediterranean,East and South East Asia,Laos
Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",LVA,428,High SDI,HIC,Latvia,Latvia,Latvia,High-income,Central and Eastern Europe,Latvia
North Africa and Middle East,North Africa and Middle East,LBN,422,High-middle SDI,UMIC,Lebanon,Lebanon,Lebanon,Eurasia and the Mediterranean,"Central Asia, Middle East and North Africa",Lebanon
Southern Sub-Saharan Africa,Sub-Saharan Africa,LSO,426,Low-middle SDI,LMIC,Lesotho,Lesotho,Lesotho,Sub-Saharan Africa,Sub-Saharan Africa,Lesotho
Western Sub-Saharan Africa,Sub-Saharan Africa,LBR,430,Low SDI,LIC,Liberia,Liberia,Liberia,Sub-Saharan Africa,Sub-Saharan Africa,Liberia
North Africa and Middle East,North Africa and Middle East,LBY,434,High-middle SDI,UMIC,Libya,Libya,Libya,Eurasia and the Mediterranean,"Central Asia, Middle East and North Africa",Libya
