Region,Super_region,iso3,LocID,SDI,World_bank_2015,countryname_WB,countryname_WHO,countryname_GBD,HLI_group,NCD_region,location_name
North Africa and Middle East,North Africa and Middle East,SYR,760,Low-middle SDI,LMIC,Syrian Arab Republic,Syrian Arab Republic,Syrian Arab Republic,Eurasia and the Mediterranean,"Central Asia, Middle East and North Africa",Syria
East Asia,"Southeast Asia, East Asia, and Oceania",TWN,158,High SDI,HIC,NA,"China, Taiwan Province of China",Taiwan (Province of China),High-income,East and South East Asia,Taiwan (Province of China)
Central Asia,"Central Europe, Eastern Europe, and Central Asia",TJK,762,Low-middle SDI,LMIC,Tajikistan,Tajikistan,Tajikistan,Eurasia and the Mediterranean,"Central Asia, Middle East and North Africa",Tajikistan
Eastern Sub-Saharan Africa,Sub-Saharan Africa,TZA,834,Low SDI,LIC,Tanzania,United Republic of Tanzania,United Republic of Tanzania,Sub-Saharan Africa,Sub-Saharan Africa,Tanzania
Southeast Asia,"Southeast Asia, East Asia, and Oceania",THA,764,Middle SDI,UMIC,Thailand,Thailand,Thailand,Eurasia and the Mediterranean,East and South East Asia,Thailand
Caribbean,Latin America and Caribbean,BHS,44,High-middle SDI,HIC,"Bahamas, The",Bahamas,Bahamas,NA,Latin America and Caribbean,The Bahamas
Western Sub-Saharan Africa,Sub-Saharan Africa,GMB,270,Low SDI,LIC,"Gambia, The",Gambia,Gambia,Sub-Saharan Africa,Sub-Saharan Africa,The Gambia
Southeast Asia,"Southeast Asia, East Asia, and Oceania",TLS,626,Low-middle SDI,LMIC,Timor-Leste,Timor-Leste,Timor-Leste,Eurasia and the Mediterranean,East and South East Asia,Timor-Leste
Western Sub-Saharan Africa,Sub-Saharan Africa,TGO,768,Low SDI,LIC,Togo,Togo,Togo,Sub-Saharan Africa,Sub-Saharan Africa,Togo
Oceania,"Southeast Asia, East Asia, and Oceania",TON,776,Low-middle SDI,LMIC,Tonga,Tonga,Tonga,NA,NA,Tonga
Caribbean,Latin America and Caribbean,TTO,780,High-middle SDI,HIC,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,High-income,Latin America and Caribbean,Trinidad and Tobago
North Africa and Middle East,North Africa and Middle East,TUN,788,Middle SDI,LMIC,Tunisia,Tunisia,Tunisia,Eurasia and the Mediterranean,"Central Asia, Middle East and North Africa",Tunisia
North Africa and Middle East,North Africa and Middle East,TUR,792,High-middle SDI,UMIC,Turkey,Turkey,Turkey,Eurasia and the Mediterranean,"Central Asia, Middle East and North Africa",Turkey
Central Asia,"Central Europe, Eastern Europe, and Central Asia",TKM,795,High-middle SDI,UMIC,Turkmenistan,Turkmenistan,Turkmenistan,Eurasia and the Mediterranean,"Central Asia, Middle East and North Africa",Turkmenistan
Eastern Sub-Saharan Africa,Sub-Saharan Africa,UGA,800,Low SDI,LIC,Uganda,Uganda,Uganda,Sub-Saharan Africa,Sub-Saharan Africa,Uganda
Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",UKR,804,High-middle SDI,LMIC,Ukraine,Ukraine,Ukraine,Eurasia and the Mediterranean,Central and Eastern Europe,Ukraine
North Africa and Middle East,North Africa and Middle East,ARE,784,High-middle SDI,HIC,United Arab Emirates,United Arab Emirates,United Arab Emirates,High-income,"Central Asia, Middle East and North Africa",United Arab Emirates
Western Europe,High-income,GBR,826,High SDI,HIC,United Kingdom,United Kingdom,United Kingdom,High-income,High-income Western countries,United Kingdom
High-income North America,High-income,USA,840,High SDI,HIC,United States,United States of America,United States of America,High-income,High-income Western countries,United States
Southern Latin America,High-income,URY,858,Middle SDI,HIC,Uruguay,Uruguay,Uruguay,High-income,Latin America and Caribbean,Uruguay
Central Asia,"Central Europe, Eastern Europe, and Central Asia",UZB,860,Middle SDI,LMIC,Uzbekistan,Uzbekistan,Uzbekistan,Eurasia and the Mediterranean,"Central Asia, Middle East and North Africa",Uzbekistan
Oceania,"Southeast Asia, East Asia, and Oceania",VUT,548,Low-middle SDI,LMIC,Vanuatu,Vanuatu,Vanuatu,NA,Oceania,Vanuatu
Central Latin America,Latin America and Caribbean,VEN,862,Middle SDI,UMIC,"Venezuela, RB",Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Latin America and Caribbean,Venezuela
Southeast Asia,"Southeast Asia, East Asia, and Oceania",VNM,704,Middle SDI,LMIC,Vietnam,Viet Nam,Viet Nam,Eurasia and the Mediterranean,East and South East Asia,Vietnam
Caribbean,Latin America and Caribbean,VIR,850,High SDI,HIC,Virgin Islands (U.S.),United States Virgin Islands,United States Virgin Islands,NA,NA,"Virgin Islands, U.S."
North Africa and Middle East,North Africa and Middle East,YEM,887,Low SDI,LMIC,"Yemen, Rep.",Yemen,Yemen,Eurasia and the Mediterranean,"Central Asia, Middle East and North Africa",Yemen
Eastern Sub-Saharan Africa,Sub-Saharan Africa,ZMB,894,Low-middle SDI,LMIC,Zambia,Zambia,Zambia,Sub-Saharan Africa,Sub-Saharan Africa,Zambia
Southern Sub-Saharan Africa,Sub-Saharan Africa,ZWE,716,Low-middle SDI,LIC,Zimbabwe,Zimbabwe,Zimbabwe,Sub-Saharan Africa,Sub-Saharan Africa,Zimbabwe
