"iso3","Mortality.reduction","Outcome","Risk","NCD4","self_harm","NCD.cause.grouping"
"GNB",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"GUY",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"HTI",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"HND",0.0328301886792453,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"HUN",0.0270566037735849,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"ISL",0.0203773584905661,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"IND",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"IDN",0.0840272292452832,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"IRN",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"IRQ",0.0530745283018869,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"IRL",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"ISR",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"ITA",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"JAM",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"JPN",0.105859631603774,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"JOR",0.0515094339622642,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"KAZ",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"KEN",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"KIR",0.0130188679245283,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"KWT",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"KGZ",0.0537735849056605,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"LAO",0.0798113207547171,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"LVA",0.0520754716981133,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"LBN",0.0577358490566039,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"LSO",0.00849056603773586,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"LBR",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"LBY",0.0520754716981133,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"LTU",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"LUX",0.0650943396226416,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"MKD",0.0816421768867926,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"MDG",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"MWI",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"MYS",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"MDV",0.0854949537735851,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"MLI",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"MLT",0.0228679245283019,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
