,iso3,country,region,salt policy,salt policy: product reform,salt policy: reg salt content,salt policy: public awareness pgm,salt policy: FOPL,salt policy: enforcement,prog7a,AreaName,NAintake,reformRRR,envRRR,foplRRR,mediaRRR,reduced,target,reduxadj,mort.redux,coverage,target.coverage
157,SOM,Somalia,EMR,no,no,no,no,no,voluntary,not achieved,Somalia,2.5,0.15,0.07,0.1,0.05,0.925,1.575,0,0,0,0
158,ZAF,South Africa,AFR,yes,yes,no,yes,no,mandatory,partially achieved,South Africa,3.18,0.15,0.07,0.1,0.05,1.1766,2.0034,0.18,0.01018872,0.5,1
159,KOR,Republic of Korea,WPR,yes,yes,yes,yes,yes,voluntary,fully achieved,Korea Rep,5.22,0.15,0.07,0.1,0.05,1.9314,3.2886,1.9314,0.109324966,1,1
160,SSD,South Sudan,AFR,no,no,no,no,no,voluntary,not achieved,South Sudan,2.76,0.15,0.07,0.1,0.05,1.0212,1.7388,0,0,0,0
161,ESP,Spain,EUR,yes,yes,yes,yes,no,voluntary,partially achieved,Spain,3.9,0.15,0.07,0.1,0.05,1.443,2.457,0.9,0.0509436,0.75,1
162,LKA,Sri Lanka,SEAR,yes,yes,yes,yes,yes,mandatory,fully achieved,Sri Lanka,4.6,0.15,0.07,0.1,0.05,1.702,2.898,1.6,0.0905664,1,1
163,SDN,Sudan,EMR,no,no,no,no,no,voluntary,not achieved,Sudan,3.68,0.15,0.07,0.1,0.05,1.3616,2.3184,0.68,0.03849072,0,1
164,SUR,Suriname,AMR,no,no,no,no,no,voluntary,not achieved,Suriname,2.75,0.15,0.07,0.1,0.05,1.0175,1.7325,0,0,0,0
165,SWZ,Eswatini,AFR,no,no,no,no,no,voluntary,not achieved,Swaziland,3.36,0.15,0.07,0.1,0.05,1.2432,2.1168,0.36,0.02037744,0,1
166,SWE,Sweden,EUR,yes,no,no,no,yes,voluntary,partially achieved,Sweden,4.62,0.15,0.07,0.1,0.05,1.7094,2.9106,1.62,0.09169848,0.25,1
167,CHE,Switzerland,EUR,yes,yes,yes,yes,no,voluntary,partially achieved,Switzerland,4,0.15,0.07,0.1,0.05,1.48,2.52,1,0.056604,0.75,1
168,SYR,Syrian Arab Republic,EMR,no,no,no,no,no,voluntary,not achieved,Syria,3.73,0.15,0.07,0.1,0.05,1.3801,2.3499,0.73,0.04132092,0,1
169,TWN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.07,0.1,0.05,NA,NA,NA,NA,0,1
170,TJK,Tajikistan,EUR,yes,no,no,no,no,voluntary,not achieved,Tajikistan,3.9,0.15,0.07,0.1,0.05,1.443,2.457,0.9,0.0509436,0,1
171,TZA,United Republic of Tanzania,AFR,no,no,no,no,no,voluntary,not achieved,Tanzania,3.14,0.15,0.07,0.1,0.05,1.1618,1.9782,0.14,0.00792456,0,1
172,THA,Thailand,SEAR,yes,yes,yes,yes,yes,voluntary,fully achieved,Thailand,4.7,0.15,0.07,0.1,0.05,1.739,2.961,1.7,0.0962268,1,1
173,BHS,Bahamas,AMR,no,no,no,no,no,voluntary,not achieved,Bahamas,2.83,0.15,0.07,0.1,0.05,1.0471,1.7829,0,0,0,0
174,GMB,Gambia,AFR,no,no,no,no,no,voluntary,not achieved,Gambia The,2.74,0.15,0.07,0.1,0.05,1.0138,1.7262,0,0,0,0
175,TLS,Timor-Leste,SEAR,yes,no,no,yes,no,voluntary,partially achieved,Timor Leste,4.28,0.15,0.07,0.1,0.05,1.5836,2.6964,1.28,0.07245312,0.25,1
176,TGO,Togo,AFR,no,no,no,no,no,voluntary,not achieved,Togo,2.72,0.15,0.07,0.1,0.05,1.0064,1.7136,0,0,0,0
177,TON,Tonga,WPR,no,no,no,no,no,voluntary,not achieved,Tonga,3.44,0.15,0.07,0.1,0.05,1.2728,2.1672,0.44,0.02490576,0,1
178,TTO,Trinidad and Tobago,AMR,no,no,no,no,no,voluntary,not achieved,Trinidad and Tobago,2.8,0.15,0.07,0.1,0.05,1.036,1.764,0,0,0,0
179,TUN,Tunisia,EMR,yes,yes,no,yes,yes,voluntary,fully achieved,Tunisia,3.92,0.15,0.07,0.1,0.05,1.4504,2.4696,0.92,0.05207568,0.75,1
180,TUR,Turkey,EUR,yes,yes,yes,yes,yes,mandatory,fully achieved,Turkey,3.13,0.15,0.07,0.1,0.05,1.1581,1.9719,0.13,0.00735852,1,1
181,TKM,Turkmenistan,EUR,yes,yes,yes,yes,no,mandatory,partially achieved,Turkmenistan,4.4,0.15,0.07,0.1,0.05,1.628,2.772,1.4,0.0792456,0.75,1
182,UGA,Uganda,AFR,no,no,no,no,no,voluntary,not achieved,Uganda,2.73,0.15,0.07,0.1,0.05,1.0101,1.7199,0,0,0,0
183,UKR,Ukraine,EUR,no,no,no,no,no,voluntary,not achieved,Ukraine,3.68,0.15,0.07,0.1,0.05,1.3616,2.3184,0.68,0.03849072,0,1
184,ARE,United Arab Emirates,EMR,yes,yes,yes,yes,yes,voluntary,fully achieved,United Arab Emirates,4.52,0.15,0.07,0.1,0.05,1.6724,2.8476,1.52,0.08603808,1,1
185,GBR,United Kingdom,EUR,yes,yes,yes,yes,yes,mandatory,fully achieved,United Kingdom,3.48,0.15,0.07,0.1,0.05,1.2876,2.1924,0.48,0.02716992,1,1
186,USA,United States of America,AMR,yes,yes,yes,yes,no,voluntary,partially achieved,United States Of America,5.11,0.15,0.07,0.1,0.05,1.8907,3.2193,1.8907,0.107021183,0.75,1
187,URY,Uruguay,AMR,yes,yes,no,yes,yes,mandatory,fully achieved,Uruguay,4.17,0.15,0.07,0.1,0.05,1.5429,2.6271,1.17,0.06622668,0.75,1
188,UZB,Uzbekistan,EUR,yes,yes,no,yes,yes,mandatory,fully achieved,Uzbekistan,4.13,0.15,0.07,0.1,0.05,1.5281,2.6019,1.13,0.06396252,0.75,1
189,VUT,Vanuatu,WPR,no,no,no,no,no,voluntary,not achieved,Vanuatu,3.3,0.15,0.07,0.1,0.05,1.221,2.079,0.3,0.0169812,0,1
190,VEN,Venezuela (Bolivarian Republic of),AMR,no,no,no,no,no,voluntary,not achieved,Venezuela,3.86,0.15,0.07,0.1,0.05,1.4282,2.4318,0.86,0.04867944,0,1
191,VNM,Viet Nam,WPR,yes,yes,yes,yes,yes,voluntary,fully achieved,Vietnam,4.41,0.15,0.07,0.1,0.05,1.6317,2.7783,1.41,0.07981164,1,1
192,VIR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.07,0.1,0.05,NA,NA,NA,NA,0,1
193,YEM,Yemen,EMR,no,no,no,no,no,voluntary,not achieved,Yemen,3.61,0.15,0.07,0.1,0.05,1.3357,2.2743,0.61,0.03452844,0,1
194,ZMB,Zambia,AFR,no,no,no,no,no,voluntary,not achieved,Zambia,2.81,0.15,0.07,0.1,0.05,1.0397,1.7703,0,0,0,0
195,ZWE,Zimbabwe,AFR,no,no,no,no,no,voluntary,not achieved,Zimbabwe,3.16,0.15,0.07,0.1,0.05,1.1692,1.9908,0.16,0.00905664,0,1
