,iso3,country,region,salt policy,salt policy: product reform,salt policy: reg salt content,salt policy: public awareness pgm,salt policy: FOPL,salt policy: enforcement,prog7a,AreaName,NAintake,reformRRR,envRRR,foplRRR,mediaRRR,reduced,target,reduxadj,mort.redux,coverage,target.coverage
36,CHL,Chile,AMR,yes,yes,yes,yes,yes,mandatory,fully achieved,Chile,4.2,0.15,0.07,0.1,0.05,1.554,2.646,1.2,0.0679248,1,1
37,CHN,China,WPR,yes,yes,yes,yes,no,voluntary,partially achieved,China,6.954027,0.15,0.07,0.1,0.05,2.57298999,4.38103701,2.57298999,0.145641525,0.75,1
38,COL,Colombia,AMR,yes,yes,no,no,no,mandatory,partially achieved,Colombia,4.57,0.15,0.07,0.1,0.05,1.6909,2.8791,1.57,0.08886828,0.25,1
39,COM,Comoros,AFR,no,no,no,no,no,voluntary,not achieved,Comoros,2.68,0.15,0.07,0.1,0.05,0.9916,1.6884,0,0,0,0
40,COG,Congo,AFR,no,no,no,no,no,voluntary,not achieved,Congo,3.12,0.15,0.07,0.1,0.05,1.1544,1.9656,0.12,0.00679248,0,1
41,CRI,Costa Rica,AMR,yes,yes,yes,yes,no,voluntary,partially achieved,Costa Rica,3.85,0.15,0.07,0.1,0.05,1.4245,2.4255,0.85,0.0481134,0.75,1
42,CIV,Côte d’Ivoire,AFR,no,no,no,no,no,voluntary,not achieved,Cote dIvoire,3.76,0.15,0.07,0.1,0.05,1.3912,2.3688,0.76,0.04301904,0,1
43,HRV,Croatia,EUR,yes,yes,yes,yes,yes,voluntary,fully achieved,Croatia,4.6,0.15,0.07,0.1,0.05,1.702,2.898,1.6,0.0905664,1,1
44,CUB,Cuba,AMR,no,no,no,no,no,voluntary,not achieved,Cuba,2.66,0.15,0.07,0.1,0.05,0.9842,1.6758,0,0,0,0
45,CYP,Cyprus,EUR,no,no,no,no,no,voluntary,not achieved,Cyprus,3.85,0.15,0.07,0.1,0.05,1.4245,2.4255,0.85,0.0481134,0,1
46,CZE,Czechia,EUR,yes,yes,no,yes,no,voluntary,partially achieved,Czech Republic,4.72,0.15,0.07,0.1,0.05,1.7464,2.9736,1.72,0.09735888,0.5,1
47,COD,Democratic Republic of the Congo,AFR,no,no,no,no,no,voluntary,not achieved,Congo DR,2.16,0.15,0.07,0.1,0.05,0.7992,1.3608,0,0,0,0
48,DNK,Denmark,EUR,yes,yes,yes,yes,yes,voluntary,fully achieved,Denmark,3.34,0.15,0.07,0.1,0.05,1.2358,2.1042,0.34,0.01924536,1,1
49,DJI,Djibouti,EMR,no,no,no,no,no,voluntary,not achieved,Djibouti,2.75,0.15,0.07,0.1,0.05,1.0175,1.7325,0,0,0,0
50,DMA,Dominica,AMR,no,no,no,no,no,voluntary,not achieved,Dominica,2.7,0.15,0.07,0.1,0.05,0.999,1.701,0,0,0,0
51,DOM,Dominican Republic,AMR,no,no,no,no,no,voluntary,not achieved,Dominican Republic,2.74,0.15,0.07,0.1,0.05,1.0138,1.7262,0,0,0,0
52,ECU,Ecuador,AMR,yes,yes,yes,yes,yes,voluntary,fully achieved,Ecuador,3.69,0.15,0.07,0.1,0.05,1.3653,2.3247,0.69,0.03905676,1,1
53,EGY,Egypt,EMR,yes,no,yes,yes,no,voluntary,partially achieved,Egypt,3.91,0.15,0.07,0.1,0.05,1.4467,2.4633,0.91,0.05150964,0.5,1
54,SLV,El Salvador,AMR,no,no,no,no,no,voluntary,not achieved,El Salvador,3.68,0.15,0.07,0.1,0.05,1.3616,2.3184,0.68,0.03849072,0,1
55,GNQ,Equatorial Guinea,AFR,no,no,no,no,no,voluntary,not achieved,Equatorial Guinea,3.5,0.15,0.07,0.1,0.05,1.295,2.205,0.5,0.028302,0,1
56,ERI,Eritrea,AFR,no,no,no,no,no,voluntary,not achieved,Eritrea,2.68,0.15,0.07,0.1,0.05,0.9916,1.6884,0,0,0,0
57,EST,Estonia,EUR,yes,yes,yes,yes,no,voluntary,partially achieved,Estonia,3.98,0.15,0.07,0.1,0.05,1.4726,2.5074,0.98,0.05547192,0.75,1
58,ETH,Ethiopia,AFR,no,no,no,no,no,voluntary,not achieved,Ethiopia,2.65,0.15,0.07,0.1,0.05,0.9805,1.6695,0,0,0,0
59,FSM,Micronesia (Federated States of),WPR,no,no,no,no,no,voluntary,not achieved,Federated States of Micronesia,3.32,0.15,0.07,0.1,0.05,1.2284,2.0916,0.32,0.01811328,0,1
60,FJI,Fiji,WPR,yes,yes,yes,yes,no,voluntary,partially achieved,Fiji,3.55,0.15,0.07,0.1,0.05,1.3135,2.2365,0.55,0.0311322,0.75,1
61,FIN,Finland,EUR,yes,yes,yes,yes,yes,mandatory,fully achieved,Finland,3.81,0.15,0.07,0.1,0.05,1.4097,2.4003,0.81,0.04584924,1,1
62,FRA,France,EUR,yes,yes,no,yes,yes,voluntary,fully achieved,France,3.81,0.15,0.07,0.1,0.05,1.4097,2.4003,0.81,0.04584924,0.75,1
63,GAB,Gabon,AFR,no,no,no,no,no,voluntary,not achieved,Gabon,3.34,0.15,0.07,0.1,0.05,1.2358,2.1042,0.34,0.01924536,0,1
64,GEO,Georgia,EUR,yes,no,no,yes,yes,voluntary,partially achieved,Georgia,4.22,0.15,0.07,0.1,0.05,1.5614,2.6586,1.22,0.06905688,0.5,1
65,DEU,Germany,EUR,yes,yes,yes,yes,yes,voluntary,fully achieved,Germany,3.81,0.15,0.07,0.1,0.05,1.4097,2.4003,0.81,0.04584924,1,1
66,GHA,Ghana,AFR,no,no,no,no,no,voluntary,not achieved,Ghana,4.11,0.15,0.07,0.1,0.05,1.5207,2.5893,1.11,0.06283044,0,1
67,GRC,Greece,EUR,yes,yes,yes,yes,no,mandatory,partially achieved,Greece,3.79,0.15,0.07,0.1,0.05,1.4023,2.3877,0.79,0.04471716,0.75,1
68,GRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.07,0.1,0.05,NA,NA,NA,NA,0,1
69,GRD,Grenada,AMR,no,no,no,no,no,voluntary,not achieved,Grenada,2.73,0.15,0.07,0.1,0.05,1.0101,1.7199,0,0,0,0
70,GUM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.07,0.1,0.05,NA,NA,NA,NA,0,1
71,GTM,Guatemala,AMR,yes,yes,yes,yes,no,voluntary,partially achieved,Guatemala,2.68,0.15,0.07,0.1,0.05,0.9916,1.6884,0,0,0.75,0
72,GIN,Guinea,AFR,no,no,no,no,no,voluntary,not achieved,Guinea,2.73,0.15,0.07,0.1,0.05,1.0101,1.7199,0,0,0,0
73,GNB,Guinea-Bissau,AFR,no,no,no,no,no,voluntary,not achieved,Guinea-Bissau,2.74,0.15,0.07,0.1,0.05,1.0138,1.7262,0,0,0,0
74,GUY,Guyana,AMR,no,no,no,no,no,voluntary,not achieved,Guyana,2.6,0.15,0.07,0.1,0.05,0.962,1.638,0,0,0,0
75,HTI,Haiti,AMR,no,no,no,no,no,voluntary,not achieved,Haiti,2.38,0.15,0.07,0.1,0.05,0.8806,1.4994,0,0,0,0
76,HND,Honduras,AMR,no,no,no,no,no,voluntary,not achieved,Honduras,3.58,0.15,0.07,0.1,0.05,1.3246,2.2554,0.58,0.03283032,0,1
77,HUN,Hungary,EUR,yes,yes,yes,yes,no,mandatory,partially achieved,Hungary,4.78,0.15,0.07,0.1,0.05,1.7686,3.0114,1.7686,0.100109834,0.75,1
78,ISL,Iceland,EUR,yes,no,no,yes,yes,don't know,partially achieved,Iceland,3.36,0.15,0.07,0.1,0.05,1.2432,2.1168,0.36,0.02037744,0.5,1
79,IND,India,SEAR,yes,yes,yes,yes,yes,voluntary,fully achieved,India,3.97,0.15,0.07,0.1,0.05,1.4689,2.5011,0.97,0.05490588,1,1
80,IDN,Indonesia,SEAR,no,no,no,no,no,voluntary,not achieved,Indonesia,4.58,0.15,0.07,0.1,0.05,1.6946,2.8854,1.58,0.08943432,0,1
81,IRN,Iran (Islamic Republic of),EMR,yes,yes,yes,yes,yes,mandatory,fully achieved,Iran,4.04,0.15,0.07,0.1,0.05,1.4948,2.5452,1.04,0.05886816,1,1
82,IRQ,Iraq,EMR,yes,no,yes,yes,no,don't know,partially achieved,Iraq,3.99,0.15,0.07,0.1,0.05,1.4763,2.5137,0.99,0.05603796,0.5,1
83,IRL,Ireland,EUR,yes,yes,yes,yes,yes,voluntary,fully achieved,Ireland,3.98,0.15,0.07,0.1,0.05,1.4726,2.5074,0.98,0.05547192,1,1
84,ISR,Israel,EUR,yes,yes,yes,yes,yes,mandatory,fully achieved,Israel,3.85,0.15,0.07,0.1,0.05,1.4245,2.4255,0.85,0.0481134,1,1
85,ITA,Italy,EUR,yes,yes,yes,yes,yes,voluntary,fully achieved,Italy,4.05,0.15,0.07,0.1,0.05,1.4985,2.5515,1.05,0.0594342,1,1
86,JAM,Jamaica,AMR,yes,yes,yes,yes,no,voluntary,partially achieved,Jamaica,2.65,0.15,0.07,0.1,0.05,0.9805,1.6695,0,0,0.75,0
87,JPN,Japan,WPR,yes,no,no,no,no,voluntary,not achieved,Japan,5.77,0.15,0.07,0.1,0.05,2.1349,3.6351,2.1349,0.12084388,0,1
88,JOR,Jordan,EMR,yes,no,yes,yes,no,mandatory,partially achieved,Jordan,3.91,0.15,0.07,0.1,0.05,1.4467,2.4633,0.91,0.05150964,0.5,1
89,KAZ,Kazakhstan,EUR,yes,yes,yes,yes,yes,voluntary,fully achieved,Kazakhstan,4.49,0.15,0.07,0.1,0.05,1.6613,2.8287,1.49,0.08433996,1,1
90,KEN,Kenya,AFR,no,no,no,no,no,voluntary,not achieved,Kenya,2.41,0.15,0.07,0.1,0.05,0.8917,1.5183,0,0,0,0
91,KIR,Kiribati,WPR,no,no,no,no,no,voluntary,not achieved,Kiribati,3.23,0.15,0.07,0.1,0.05,1.1951,2.0349,0.23,0.01301892,0,1
92,KWT,Kuwait,EMR,yes,yes,yes,yes,yes,voluntary,fully achieved,Kuwait,4.5,0.15,0.07,0.1,0.05,1.665,2.835,1.5,0.084906,1,1
93,KGZ,Kyrgyzstan,EUR,no,no,no,no,no,voluntary,not achieved,Kyrgyzstan,3.95,0.15,0.07,0.1,0.05,1.4615,2.4885,0.95,0.0537738,0,1
94,LAO,Lao People’s Democratic Republic,WPR,no,no,no,no,no,voluntary,not achieved,Lao PDR,4.41,0.15,0.07,0.1,0.05,1.6317,2.7783,1.41,0.07981164,0,1
95,LVA,Latvia,EUR,yes,no,yes,yes,no,mandatory,partially achieved,Latvia,3.92,0.15,0.07,0.1,0.05,1.4504,2.4696,0.92,0.05207568,0.5,1
96,LBN,Lebanon,EMR,no,no,no,no,no,voluntary,not achieved,Lebanon,4.02,0.15,0.07,0.1,0.05,1.4874,2.5326,1.02,0.05773608,0,1
97,LSO,Lesotho,AFR,no,no,no,no,no,voluntary,not achieved,Lesotho,3.15,0.15,0.07,0.1,0.05,1.1655,1.9845,0.15,0.0084906,0,1
98,LBR,Liberia,AFR,no,no,no,no,no,voluntary,not achieved,Liberia,2.62,0.15,0.07,0.1,0.05,0.9694,1.6506,0,0,0,0
99,LBY,Libya,EMR,no,no,no,no,no,voluntary,not achieved,Libya,3.92,0.15,0.07,0.1,0.05,1.4504,2.4696,0.92,0.05207568,0,1
100,LTU,Lithuania,EUR,yes,yes,yes,yes,yes,voluntary,fully achieved,Lithuania,3.96,0.15,0.07,0.1,0.05,1.4652,2.4948,0.96,0.05433984,1,1
101,LUX,Luxembourg,EUR,no,no,no,no,no,voluntary,not achieved,Luxembourg,4.15,0.15,0.07,0.1,0.05,1.5355,2.6145,1.15,0.0650946,0,1
