ISO,Sex,Year,Number of Smokers All Ages,Number of Smokers All Ages Lower Bound,Number of Smokers All Ages Upper Bound
COG,Male,1980,82189,65944,101449
COG,Male,1981,84106,67839,102829
COG,Male,1982,85997,69151,104719
COG,Male,1983,87963,70367,108136
COG,Male,1984,90004,71566,110642
COG,Male,1985,92222,72965,113378
COG,Male,1986,94656,74565,116442
COG,Male,1987,97240,77181,119070
COG,Male,1988,99871,78401,122398
COG,Male,1989,102580,80646,125988
COG,Male,1990,105462,81982,129724
COG,Male,1991,108467,85449,134588
COG,Male,1992,111522,87662,138700
COG,Male,1993,114829,89832,143071
COG,Male,1994,118481,93163,148823
COG,Male,1995,122380,96899,153023
COG,Male,1996,126519,99954,158053
COG,Male,1997,130891,103335,161946
COG,Male,1998,135303,106767,166852
COG,Male,1999,139800,110412,171687
COG,Male,2000,144030,113679,177420
COG,Male,2001,147996,116251,182733
COG,Male,2002,151759,119305,187752
COG,Male,2003,155663,122236,192552
COG,Male,2004,159850,126686,199300
COG,Male,2005,164568,130259,204513
COG,Male,2006,169912,132340,211948
COG,Male,2007,175872,137287,220037
COG,Male,2008,181896,142959,227414
COG,Male,2009,187645,148050,233123
COG,Male,2010,192644,152834,238662
COG,Male,2011,197094,155185,245471
COG,Male,2012,201396,159151,250667
COG,Female,1980,5975,4210,8584
COG,Female,1981,6099,4354,8927
COG,Female,1982,6225,4395,9103
COG,Female,1983,6364,4498,9226
COG,Female,1984,6517,4582,9460
COG,Female,1985,6685,4700,9854
COG,Female,1986,6870,4862,10330
COG,Female,1987,7065,4934,10741
COG,Female,1988,7257,5054,11127
COG,Female,1989,7444,5097,11333
COG,Female,1990,7633,5168,11562
COG,Female,1991,7818,5344,11670
COG,Female,1992,7998,5553,11862
COG,Female,1993,8193,5622,12136
COG,Female,1994,8415,5702,12520
COG,Female,1995,8651,5785,13024
COG,Female,1996,8896,6069,13445
COG,Female,1997,9300,6322,13994
COG,Female,1998,9758,6593,14684
COG,Female,1999,10206,6879,15330
COG,Female,2000,10639,7185,16226
COG,Female,2001,11056,7455,16951
COG,Female,2002,11461,7685,17673
COG,Female,2003,11848,8036,18353
COG,Female,2004,12230,8369,18981
COG,Female,2005,12625,8649,19779
COG,Female,2006,13059,8818,19901
COG,Female,2007,13534,9101,20469
COG,Female,2008,14044,9321,20955
COG,Female,2009,14568,9580,22125
COG,Female,2010,15097,9824,22947
COG,Female,2011,15632,10389,23818
COG,Female,2012,16157,10702,24698
COG,Both,1980,88164,71617,107467
COG,Both,1981,90205,73935,109091
COG,Both,1982,92221,75568,111994
COG,Both,1983,94327,76995,114813
COG,Both,1984,96521,78053,117208
COG,Both,1985,98907,79492,120163
COG,Both,1986,101526,81832,123920
COG,Both,1987,104306,83601,127102
COG,Both,1988,107129,85891,130191
COG,Both,1989,110024,87412,134188
COG,Both,1990,113094,89779,137769
COG,Both,1991,116284,92788,142759
COG,Both,1992,119520,95350,146818
COG,Both,1993,123021,97567,152523
COG,Both,1994,126896,100906,157238
COG,Both,1995,131031,104417,161932
COG,Both,1996,135415,107851,167577
COG,Both,1997,140191,112092,171964
COG,Both,1998,145061,117255,177098
COG,Both,1999,150006,120671,182920
COG,Both,2000,154668,124003,189146
COG,Both,2001,159052,127738,193672
COG,Both,2002,163221,131058,198320
COG,Both,2003,167511,134284,204325
COG,Both,2004,172081,137426,210614
COG,Both,2005,177193,141774,217599
COG,Both,2006,182971,145880,225161
COG,Both,2007,189405,151341,234332
COG,Both,2008,195941,157021,241985
COG,Both,2009,202214,162761,247263
COG,Both,2010,207742,167152,253416
COG,Both,2011,212726,169743,261056
COG,Both,2012,217553,173985,267764
COL,Male,1980,1839833,1453629,2326317
COL,Male,1981,1846548,1444288,2353261
COL,Male,1982,1868375,1451160,2377262
COL,Male,1983,1901053,1473274,2437417
COL,Male,1984,1935352,1492188,2511835
COL,Male,1985,1968996,1510274,2532502
COL,Male,1986,1995451,1518493,2575502
COL,Male,1987,2016256,1536138,2595497
COL,Male,1988,2036933,1579042,2627394
COL,Male,1989,2056157,1602485,2620183
COL,Male,1990,2073195,1623129,2671390
COL,Male,1991,2095483,1637991,2690316
COL,Male,1992,2115681,1649921,2714093
COL,Male,1993,2135045,1655986,2732753
COL,Male,1994,2148634,1668164,2719600
COL,Male,1995,2161319,1691844,2729144
COL,Male,1996,2184645,1717053,2746591
COL,Male,1997,2204516,1748398,2742296
COL,Male,1998,2238586,1796984,2739053
COL,Male,1999,2286051,1842154,2774101
COL,Male,2000,2329917,1888275,2821567
COL,Male,2001,2373119,1958634,2844518
COL,Male,2002,2413426,2025411,2830559
COL,Male,2003,2446011,2093229,2854096
COL,Male,2004,2472270,2132556,2860779
COL,Male,2005,2484896,2171426,2843420
COL,Male,2006,2494199,2216711,2828836
COL,Male,2007,2508720,2254072,2810576
COL,Male,2008,2532285,2274038,2800546
COL,Male,2009,2637917,2377378,2907659
COL,Male,2010,2756932,2469211,3052289
COL,Male,2011,2824148,2479135,3186291
COL,Male,2012,2881132,2501118,3284459
COL,Female,1980,708984,486908,1012035
COL,Female,1981,717056,491416,1013236
COL,Female,1982,730817,505694,1031950
COL,Female,1983,748645,518337,1062379
COL,Female,1984,767583,531128,1093963
COL,Female,1985,786363,549423,1106684
COL,Female,1986,802315,555249,1137625
COL,Female,1987,815929,555014,1139698
COL,Female,1988,830193,564659,1175457
COL,Female,1989,844921,583254,1203355
COL,Female,1990,860799,607857,1238638
COL,Female,1991,879971,618672,1247699
COL,Female,1992,899490,634269,1291297
COL,Female,1993,918937,650389,1306780
COL,Female,1994,935826,678608,1336985
COL,Female,1995,954147,696836,1360312
COL,Female,1996,975876,712282,1363710
COL,Female,1997,958408,696788,1306724
COL,Female,1998,956362,701323,1290300
COL,Female,1999,965032,719435,1287925
COL,Female,2000,977172,737426,1282124
COL,Female,2001,991257,758523,1282984
COL,Female,2002,1003778,780420,1275996
COL,Female,2003,1012014,797219,1268432
COL,Female,2004,1014413,814584,1240146
COL,Female,2005,1002546,821665,1202793
COL,Female,2006,988070,827229,1165917
COL,Female,2007,974981,828463,1127144
COL,Female,2008,958044,820594,1111621
COL,Female,2009,953442,815842,1114515
COL,Female,2010,956073,808555,1126274
COL,Female,2011,974158,808111,1165263
COL,Female,2012,993157,811457,1224665
COL,Both,1980,2548818,2080346,3133073
COL,Both,1981,2563604,2081773,3155668
COL,Both,1982,2599192,2103108,3175044
COL,Both,1983,2649698,2139611,3258439
COL,Both,1984,2702935,2173195,3381372
COL,Both,1985,2755359,2221308,3441615
COL,Both,1986,2797766,2250439,3448915
COL,Both,1987,2832185,2273828,3482975
COL,Both,1988,2867127,2308126,3531648
COL,Both,1989,2901078,2361435,3545961
COL,Both,1990,2933994,2390391,3588856
COL,Both,1991,2975454,2418433,3638079
COL,Both,1992,3015171,2449987,3712458
COL,Both,1993,3053982,2487261,3754473
COL,Both,1994,3084461,2524993,3761498
COL,Both,1995,3115466,2565853,3795733
COL,Both,1996,3160521,2621299,3819533
COL,Both,1997,3162924,2632676,3807577
COL,Both,1998,3194948,2677823,3834598
COL,Both,1999,3251083,2747771,3851068
COL,Both,2000,3307089,2803245,3870025
COL,Both,2001,3364376,2875661,3900061
COL,Both,2002,3417204,2957294,3930195
COL,Both,2003,3458024,3032025,3920415
COL,Both,2004,3486683,3078167,3931933
COL,Both,2005,3487442,3127244,3872306
COL,Both,2006,3482269,3175907,3833259
COL,Both,2007,3483700,3198225,3800495
COL,Both,2008,3490329,3218080,3791080
COL,Both,2009,3591359,3307437,3903861
COL,Both,2010,3713005,3392115,4055548
COL,Both,2011,3798307,3416666,4191045
COL,Both,2012,3874289,3424029,4345781
COM,Male,1980,15205,12086,18797
COM,Male,1981,15681,12459,19448
COM,Male,1982,16128,12781,19877
COM,Male,1983,16556,13124,20346
COM,Male,1984,16989,13513,20969
COM,Male,1985,17445,13860,21524
COM,Male,1986,17943,14321,22157
COM,Male,1987,18477,14763,22860
COM,Male,1988,19039,15235,23618
COM,Male,1989,19622,15654,24270
COM,Male,1990,20231,16090,24796
COM,Male,1991,20860,16499,25599
COM,Male,1992,21525,17158,26425
COM,Male,1993,22220,17730,27674
COM,Male,1994,22930,18110,28645
COM,Male,1995,23669,18679,29762
COM,Male,1996,24429,19360,30429
COM,Male,1997,25192,20056,31250
COM,Male,1998,25970,20656,32378
COM,Male,1999,26785,21315,33083
COM,Male,2000,27628,22015,33978
COM,Male,2001,28502,22843,34814
COM,Male,2002,29422,23534,36059
COM,Male,2003,30350,24064,37013
COM,Male,2004,31278,24870,38306
COM,Male,2005,32214,25717,39207
COM,Male,2006,33187,26512,40594
COM,Male,2007,34144,27297,41690
COM,Male,2008,35097,27988,43249
COM,Male,2009,36039,28615,44471
COM,Male,2010,36938,29323,45632
COM,Male,2011,37815,29865,47133
COM,Male,2012,38706,30753,48462
COM,Female,1980,6766,5020,9032
COM,Female,1981,6964,5162,9216
COM,Female,1982,7151,5293,9437
COM,Female,1983,7329,5413,9577
COM,Female,1984,7509,5521,9818
COM,Female,1985,7701,5664,10162
COM,Female,1986,7914,5817,10550
COM,Female,1987,8148,6030,10994
COM,Female,1988,8414,6212,11270
COM,Female,1989,8721,6500,11743
COM,Female,1990,9073,6780,12203
COM,Female,1991,9468,7026,12682
COM,Female,1992,9912,7304,13295
COM,Female,1993,10409,7574,13945
COM,Female,1994,10962,8032,14497
COM,Female,1995,11575,8495,15456
COM,Female,1996,12245,9108,16320
COM,Female,1997,12408,9313,16119
COM,Female,1998,12396,9469,16102
COM,Female,1999,12338,9532,15892
COM,Female,2000,12276,9573,15773
COM,Female,2001,12187,9591,15513
COM,Female,2002,12033,9614,15208
COM,Female,2003,11769,9428,14883
COM,Female,2004,10533,8442,13300
COM,Female,2005,9249,7339,11933
COM,Female,2006,8061,6298,10392
COM,Female,2007,7028,5411,9153
COM,Female,2008,6180,4736,8249
COM,Female,2009,5501,4144,7332
COM,Female,2010,4974,3770,6624
COM,Female,2011,4594,3478,6117
COM,Female,2012,4626,3493,6146
COM,Both,1980,21971,18365,26243
COM,Both,1981,22645,18881,26958
COM,Both,1982,23278,19367,27978
COM,Both,1983,23884,19949,28394
COM,Both,1984,24498,20473,29115
COM,Both,1985,25146,20881,29864
COM,Both,1986,25857,21470,30443
COM,Both,1987,26625,22258,31524
COM,Both,1988,27453,22954,32560
COM,Both,1989,28343,23701,33837
COM,Both,1990,29304,24292,35097
COM,Both,1991,30328,25133,36395
COM,Both,1992,31437,26211,37721
COM,Both,1993,32629,27252,39256
COM,Both,1994,33893,28209,40695
COM,Both,1995,35244,29220,42333
COM,Both,1996,36674,30521,43902
COM,Both,1997,37600,31444,44960
COM,Both,1998,38366,32085,45292
COM,Both,1999,39122,32994,46281
COM,Both,2000,39904,33504,47283
COM,Both,2001,40689,33998,48072
COM,Both,2002,41455,34990,48886
COM,Both,2003,42119,35700,49702
COM,Both,2004,41811,35276,49287
COM,Both,2005,41463,34841,48972
COM,Both,2006,41248,34290,49106
COM,Both,2007,41172,34361,48814
COM,Both,2008,41277,34100,49616
COM,Both,2009,41540,34190,50149
COM,Both,2010,41912,34161,50743
COM,Both,2011,42409,34800,51746
COM,Both,2012,43332,35311,52986
CPV,Male,1980,7230,5769,8931
CPV,Male,1981,7222,5702,9089
CPV,Male,1982,7374,5839,9272
CPV,Male,1983,7616,6018,9718
CPV,Male,1984,7869,6286,10021
CPV,Male,1985,8061,6467,10260
CPV,Male,1986,8185,6565,10366
CPV,Male,1987,8267,6630,10350
CPV,Male,1988,8335,6700,10401
CPV,Male,1989,8435,6788,10522
CPV,Male,1990,8605,6998,10624
CPV,Male,1991,8847,7172,10903
CPV,Male,1992,9149,7354,11373
CPV,Male,1993,9489,7625,11794
CPV,Male,1994,9848,7854,12366
CPV,Male,1995,10205,8114,12750
CPV,Male,1996,10550,8327,13123
CPV,Male,1997,10892,8547,13473
CPV,Male,1998,11249,8898,13924
CPV,Male,1999,11636,9204,14353
CPV,Male,2000,12076,9563,14846
CPV,Male,2001,12570,9984,15441
CPV,Male,2002,13120,10376,16191
CPV,Male,2003,13698,10847,17015
CPV,Male,2004,14257,11229,17834
CPV,Male,2005,14780,11637,18510
CPV,Male,2006,15242,12000,19036
CPV,Male,2007,15664,12253,19621
CPV,Male,2008,16081,12615,20080
CPV,Male,2009,16514,13086,20684
CPV,Male,2010,16983,13591,21183
CPV,Male,2011,17494,14141,21713
CPV,Male,2012,18039,14525,22222
CPV,Female,1980,2725,2034,3613
CPV,Female,1981,2740,2024,3605
CPV,Female,1982,2771,2047,3647
CPV,Female,1983,2811,2089,3695
CPV,Female,1984,2854,2114,3759
CPV,Female,1985,2887,2137,3783
CPV,Female,1986,2912,2174,3799
CPV,Female,1987,2933,2196,3792
CPV,Female,1988,2957,2209,3853
CPV,Female,1989,2991,2234,3937
CPV,Female,1990,3046,2251,4080
CPV,Female,1991,3116,2309,4194
CPV,Female,1992,3200,2363,4283
CPV,Female,1993,3292,2436,4392
CPV,Female,1994,3389,2515,4465
CPV,Female,1995,3488,2617,4560
CPV,Female,1996,3589,2706,4706
CPV,Female,1997,3683,2804,4792
CPV,Female,1998,3778,2847,4957
CPV,Female,1999,3870,2936,5092
CPV,Female,2000,3958,3007,5220
CPV,Female,2001,4038,3106,5220
CPV,Female,2002,4112,3134,5257
CPV,Female,2003,4184,3259,5275
CPV,Female,2004,4248,3390,5257
CPV,Female,2005,4308,3502,5261
CPV,Female,2006,4350,3527,5366
CPV,Female,2007,4391,3541,5522
CPV,Female,2008,4446,3528,5610
CPV,Female,2009,4518,3524,5697
CPV,Female,2010,4601,3546,5874
CPV,Female,2011,4700,3602,6008
CPV,Female,2012,4816,3648,6168
CPV,Both,1980,9955,8317,11843
CPV,Both,1981,9962,8301,11877
CPV,Both,1982,10145,8461,12310
CPV,Both,1983,10428,8658,12632
CPV,Both,1984,10723,8961,13031
CPV,Both,1985,10947,9083,13327
CPV,Both,1986,11097,9229,13445
CPV,Both,1987,11200,9342,13494
CPV,Both,1988,11291,9429,13598
CPV,Both,1989,11426,9569,13759
CPV,Both,1990,11651,9714,13967
CPV,Both,1991,11964,9976,14375
CPV,Both,1992,12349,10282,14714
CPV,Both,1993,12781,10656,15247
CPV,Both,1994,13237,10979,15919
CPV,Both,1995,13693,11350,16552
CPV,Both,1996,14139,11726,16999
CPV,Both,1997,14574,12140,17537
CPV,Both,1998,15027,12373,18048
CPV,Both,1999,15506,12764,18595
CPV,Both,2000,16034,13161,19203
CPV,Both,2001,16608,13604,19756
CPV,Both,2002,17232,14158,20491
CPV,Both,2003,17882,14758,21271
CPV,Both,2004,18505,15272,21976
CPV,Both,2005,19088,15771,22799
CPV,Both,2006,19592,16121,23505
CPV,Both,2007,20055,16345,24134
CPV,Both,2008,20527,16864,24716
CPV,Both,2009,21032,17481,25326
CPV,Both,2010,21584,17980,25913
CPV,Both,2011,22194,18510,26568
CPV,Both,2012,22855,19013,27257
CRI,Male,1980,113762,90422,142223
CRI,Male,1981,117145,93231,145717
CRI,Male,1982,121163,97033,150781
CRI,Male,1983,125131,99373,154754
CRI,Male,1984,128826,101967,159841
CRI,Male,1985,132535,105536,164303
CRI,Male,1986,136025,108565,169560
CRI,Male,1987,139362,111788,173511
CRI,Male,1988,142584,114783,176234
CRI,Male,1989,145327,117909,177699
CRI,Male,1990,147890,120258,180461
CRI,Male,1991,150477,124511,182052
CRI,Male,1992,152789,128991,180798
CRI,Male,1993,155217,132073,181908
CRI,Male,1994,157790,134562,183716
CRI,Male,1995,160936,137944,186509
CRI,Male,1996,163410,140243,188803
CRI,Male,1997,167101,141588,193491
CRI,Male,1998,172863,144774,200688
CRI,Male,1999,180405,150001,211610
CRI,Male,2000,190220,156591,223706
CRI,Male,2001,201424,165791,238355
CRI,Male,2002,213386,175498,252734
CRI,Male,2003,225263,185470,266015
CRI,Male,2004,237030,195185,277807
CRI,Male,2005,248057,207468,291202
CRI,Male,2006,257938,216979,300547
CRI,Male,2007,266878,225178,309897
CRI,Male,2008,275512,233609,317936
CRI,Male,2009,284452,242315,326049
CRI,Male,2010,292433,251241,334110
CRI,Male,2011,298401,256156,341723
CRI,Male,2012,303877,261206,352111
CRI,Female,1980,38818,26056,55465
CRI,Female,1981,40164,26716,57023
CRI,Female,1982,41736,28343,59207
CRI,Female,1983,43388,29687,61401
CRI,Female,1984,45009,31700,62642
CRI,Female,1985,46637,33132,63576
CRI,Female,1986,48218,34789,65941
CRI,Female,1987,49798,36499,67807
CRI,Female,1988,51406,38415,67981
CRI,Female,1989,52794,39775,68927
CRI,Female,1990,54032,41881,69010
CRI,Female,1991,55165,43804,68610
CRI,Female,1992,56043,45227,68078
CRI,Female,1993,56770,46706,68278
CRI,Female,1994,54774,45195,65337
CRI,Female,1995,52911,43494,63453
CRI,Female,1996,54330,44327,66301
CRI,Female,1997,57199,45416,71711
CRI,Female,1998,61014,47593,76774
CRI,Female,1999,65515,50275,83266
CRI,Female,2000,70529,54406,90122
CRI,Female,2001,76401,58324,97906
CRI,Female,2002,83034,62886,107891
CRI,Female,2003,90050,68664,116645
CRI,Female,2004,97297,74527,124574
CRI,Female,2005,104416,79319,133403
CRI,Female,2006,111024,86057,140833
CRI,Female,2007,117190,91714,145853
CRI,Female,2008,122995,97916,149792
CRI,Female,2009,128798,103947,156414
CRI,Female,2010,134064,108071,162585
CRI,Female,2011,136745,108994,167111
CRI,Female,2012,139043,110181,171778
CRI,Both,1980,152579,124681,186432
CRI,Both,1981,157310,128214,191386
CRI,Both,1982,162899,132878,198240
CRI,Both,1983,168518,136647,205366
CRI,Both,1984,173835,141986,212601
CRI,Both,1985,179172,146806,216871
CRI,Both,1986,184242,152398,221907
CRI,Both,1987,189161,156195,228864
CRI,Both,1988,193991,162674,233354
CRI,Both,1989,198121,167099,235166
CRI,Both,1990,201922,172526,238185
CRI,Both,1991,205641,175069,240433
CRI,Both,1992,208832,180946,239103
CRI,Both,1993,211988,186209,241373
CRI,Both,1994,212565,187494,239650
CRI,Both,1995,213847,187854,240976
CRI,Both,1996,217740,192404,245188
CRI,Both,1997,224301,196150,253002
CRI,Both,1998,233877,202361,264897
CRI,Both,1999,245920,211697,280511
CRI,Both,2000,260749,222636,297984
CRI,Both,2001,277825,238188,317356
CRI,Both,2002,296420,252708,338711
CRI,Both,2003,315313,269960,362529
CRI,Both,2004,334328,285677,383887
CRI,Both,2005,352473,300694,403721
CRI,Both,2006,368962,317849,422330
CRI,Both,2007,384068,334904,434491
CRI,Both,2008,398507,350367,446917
CRI,Both,2009,413251,365024,461473
CRI,Both,2010,426496,377508,477472
CRI,Both,2011,435146,385925,486637
CRI,Both,2012,442921,390814,497663
CUB,Male,1980,987549,829701,1168607
CUB,Male,1981,977722,814961,1154580
CUB,Male,1982,964130,806663,1136123
CUB,Male,1983,951428,792878,1119057
CUB,Male,1984,938264,780542,1109755
CUB,Male,1985,931639,771600,1109657
CUB,Male,1986,929577,762897,1106932
CUB,Male,1987,932147,758251,1123494
CUB,Male,1988,934872,760887,1135512
CUB,Male,1989,938379,765873,1142044
CUB,Male,1990,945183,773441,1146377
CUB,Male,1991,957923,782357,1161297
CUB,Male,1992,978601,799619,1188964
CUB,Male,1993,1005972,827537,1211256
CUB,Male,1994,1031274,850231,1240026
CUB,Male,1995,1053702,871630,1261027
CUB,Male,1996,1069045,890702,1282314
CUB,Male,1997,1076094,900668,1289473
CUB,Male,1998,1080691,895802,1282203
CUB,Male,1999,1079291,898417,1280461
CUB,Male,2000,1073687,897287,1272016
CUB,Male,2001,1065449,884551,1262472
CUB,Male,2002,1055549,876399,1243576
CUB,Male,2003,1045412,874711,1226749
CUB,Male,2004,1035587,868320,1213556
CUB,Male,2005,1024051,856066,1200339
CUB,Male,2006,1009096,841367,1187766
CUB,Male,2007,995524,821554,1173428
CUB,Male,2008,988128,815708,1175725
CUB,Male,2009,983186,810822,1168451
CUB,Male,2010,980092,808688,1164910
CUB,Male,2011,978793,808687,1171845
CUB,Male,2012,977890,801995,1163524
CUB,Female,1980,481304,366384,619328
CUB,Female,1981,482558,367042,622685
CUB,Female,1982,482754,369593,623961
CUB,Female,1983,483098,368261,621342
CUB,Female,1984,483088,368137,621974
CUB,Female,1985,484731,367572,620979
CUB,Female,1986,487728,369224,624222
CUB,Female,1987,492242,377543,630803
CUB,Female,1988,496537,376910,638178
CUB,Female,1989,501086,378163,645608
CUB,Female,1990,506840,381673,661219
CUB,Female,1991,515031,388680,677224
CUB,Female,1992,527598,396560,692648
CUB,Female,1993,542711,411454,710900
CUB,Female,1994,557050,417743,728749
CUB,Female,1995,570261,435989,736919
CUB,Female,1996,580730,439343,749089
CUB,Female,1997,585492,442893,749226
CUB,Female,1998,589671,444343,751898
CUB,Female,1999,591949,447092,753293
CUB,Female,2000,592392,452652,748330
CUB,Female,2001,592301,455716,754675
CUB,Female,2002,592893,457399,761593
CUB,Female,2003,593293,456469,768368
CUB,Female,2004,593501,454745,773422
CUB,Female,2005,592311,446370,773048
CUB,Female,2006,589749,442958,769117
CUB,Female,2007,586384,438635,755858
CUB,Female,2008,583950,436076,752513
CUB,Female,2009,581862,439276,743557
CUB,Female,2010,580727,443786,744062
CUB,Female,2011,580077,445977,739354
CUB,Female,2012,579532,448833,737655
CUB,Both,1980,1468853,1268397,1689784
CUB,Both,1981,1460280,1252291,1694336
CUB,Both,1982,1446883,1237123,1672831
CUB,Both,1983,1434526,1230063,1647480
CUB,Both,1984,1421352,1214462,1630960
CUB,Both,1985,1416371,1212061,1626800
CUB,Both,1986,1417305,1217408,1639697
CUB,Both,1987,1424389,1221895,1651956
CUB,Both,1988,1431409,1219169,1660087
CUB,Both,1989,1439465,1228816,1679904
CUB,Both,1990,1452023,1236221,1700779
CUB,Both,1991,1472953,1259247,1726705
CUB,Both,1992,1506200,1285478,1754127
CUB,Both,1993,1548683,1326597,1797186
CUB,Both,1994,1588324,1367280,1842572
CUB,Both,1995,1623964,1406938,1883636
CUB,Both,1996,1649775,1429244,1914794
CUB,Both,1997,1661586,1434463,1923566
CUB,Both,1998,1670362,1438324,1928159
CUB,Both,1999,1671240,1440027,1921625
CUB,Both,2000,1666079,1428892,1914757
CUB,Both,2001,1657751,1429484,1909028
CUB,Both,2002,1648442,1417267,1901174
CUB,Both,2003,1638706,1409785,1890739
CUB,Both,2004,1629087,1395887,1878944
CUB,Both,2005,1616363,1385781,1855283
CUB,Both,2006,1598845,1374540,1844707
CUB,Both,2007,1581908,1357974,1828408
CUB,Both,2008,1572078,1342703,1813827
CUB,Both,2009,1565049,1337093,1802596
CUB,Both,2010,1560819,1331531,1798369
CUB,Both,2011,1558871,1323030,1791093
CUB,Both,2012,1557423,1324968,1793818
CYP,Male,1980,103435,91479,116423
CYP,Male,1981,104086,91799,116482
CYP,Male,1982,104777,92352,117264
CYP,Male,1983,105446,93056,117877
CYP,Male,1984,106166,93519,119072
CYP,Male,1985,106869,94377,120252
CYP,Male,1986,107554,95123,121297
CYP,Male,1987,108346,96092,121902
CYP,Male,1988,109345,97179,122387
CYP,Male,1989,110487,97708,123262
CYP,Male,1990,111733,99076,124816
CYP,Male,1991,112935,100495,125629
CYP,Male,1992,114291,101683,126783
CYP,Male,1993,115618,102941,128518
CYP,Male,1994,117068,104231,129754
CYP,Male,1995,118758,106093,131714
CYP,Male,1996,120549,107675,133919
CYP,Male,1997,119911,107146,132859
CYP,Male,1998,120187,107832,132797
CYP,Male,1999,121094,108757,133049
CYP,Male,2000,123315,111339,135001
CYP,Male,2001,125902,114186,137815
CYP,Male,2002,129316,118266,140711
CYP,Male,2003,132363,121746,142929
CYP,Male,2004,135330,125183,144761
CYP,Male,2005,138282,128918,147297
CYP,Male,2006,139866,130850,148584
CYP,Male,2007,142713,133684,151813
CYP,Male,2008,146007,136859,155049
CYP,Male,2009,149668,140001,159074
CYP,Male,2010,154829,143830,165108
CYP,Male,2011,161301,148820,173106
CYP,Male,2012,165974,152488,179214
CYP,Female,1980,52788,41252,66210
CYP,Female,1981,53050,41374,66280
CYP,Female,1982,53291,41604,66058
CYP,Female,1983,53525,41837,66221
CYP,Female,1984,53795,42205,66545
CYP,Female,1985,54049,42651,67290
CYP,Female,1986,54329,42748,67347
CYP,Female,1987,54690,43261,67837
CYP,Female,1988,55116,43712,68370
CYP,Female,1989,55605,43834,69158
CYP,Female,1990,56207,44062,70086
CYP,Female,1991,56863,44803,70309
CYP,Female,1992,57610,45263,71395
CYP,Female,1993,58351,45651,72095
CYP,Female,1994,59194,46777,72602
CYP,Female,1995,60133,47780,72760
CYP,Female,1996,61122,48562,74033
CYP,Female,1997,59781,47467,72416
CYP,Female,1998,59164,47394,71786
CYP,Female,1999,59031,47546,71235
CYP,Female,2000,59662,48473,71620
CYP,Female,2001,60716,49915,72102
CYP,Female,2002,61768,51714,72070
CYP,Female,2003,62377,52902,71925
CYP,Female,2004,62801,54049,71734
CYP,Female,2005,62975,55076,72120
CYP,Female,2006,61539,53909,70374
CYP,Female,2007,60746,53263,68969
CYP,Female,2008,60437,53350,68792
CYP,Female,2009,60745,53759,69064
CYP,Female,2010,62481,54639,71477
CYP,Female,2011,65056,56048,75694
CYP,Female,2012,67272,56641,78960
CYP,Both,1980,156223,139870,173646
CYP,Both,1981,157136,141049,174478
CYP,Both,1982,158068,141840,175052
CYP,Both,1983,158972,142915,176726
CYP,Both,1984,159961,143734,177925
CYP,Both,1985,160918,144260,178848
CYP,Both,1986,161882,144748,180393
CYP,Both,1987,163036,145893,181871
CYP,Both,1988,164461,146739,183330
CYP,Both,1989,166093,148702,184711
CYP,Both,1990,167940,150797,186923
CYP,Both,1991,169798,152627,188688
CYP,Both,1992,171901,154219,191213
CYP,Both,1993,173969,155894,193884
CYP,Both,1994,176262,157684,196189
CYP,Both,1995,178892,160086,198316
CYP,Both,1996,181671,162561,200421
CYP,Both,1997,179692,161379,197900
CYP,Both,1998,179351,161891,197361
CYP,Both,1999,180124,163259,197334
CYP,Both,2000,182977,166503,200286
CYP,Both,2001,186618,170652,202882
CYP,Both,2002,191084,175771,206685
CYP,Both,2003,194740,180402,209182
CYP,Both,2004,198131,184786,211803
CYP,Both,2005,201257,188582,213852
CYP,Both,2006,201405,189578,213497
CYP,Both,2007,203458,191550,215091
CYP,Both,2008,206444,194593,218464
CYP,Both,2009,210413,198342,223387
CYP,Both,2010,217310,204096,230868
CYP,Both,2011,226357,211249,242396
CYP,Both,2012,233246,216085,251676
CZE,Male,1980,1111128,952743,1303262
CZE,Male,1981,1108280,943168,1300187
CZE,Male,1982,1108186,940644,1302414
CZE,Male,1983,1110400,941909,1298676
CZE,Male,1984,1114639,941346,1298730
CZE,Male,1985,1120638,948903,1298216
CZE,Male,1986,1127269,958191,1307031
CZE,Male,1987,1134940,970516,1318854
CZE,Male,1988,1144071,976529,1328617
CZE,Male,1989,1154893,984143,1334294
CZE,Male,1990,1166798,998908,1346515
CZE,Male,1991,1186371,1028060,1363337
CZE,Male,1992,1207839,1056664,1372645
CZE,Male,1993,1230875,1087644,1381918
CZE,Male,1994,1252538,1121300,1394685
CZE,Male,1995,1268200,1145985,1393699
CZE,Male,1996,1277610,1166741,1386918
CZE,Male,1997,1281921,1179160,1387745
CZE,Male,1998,1287978,1193277,1393783
CZE,Male,1999,1294869,1207401,1389343
CZE,Male,2000,1302246,1223978,1388346
CZE,Male,2001,1309630,1235711,1386747
CZE,Male,2002,1318112,1249625,1389768
CZE,Male,2003,1328397,1258123,1400751
CZE,Male,2004,1329303,1255560,1402094
CZE,Male,2005,1321392,1245640,1400314
CZE,Male,2006,1301530,1222533,1389150
CZE,Male,2007,1277656,1190162,1376512
CZE,Male,2008,1256785,1165816,1361159
CZE,Male,2009,1251184,1152956,1360408
CZE,Male,2010,1246703,1133012,1366727
