Super_region,Region,location_gbd,gbd2019,location_wb,location_who,location_ncdrisc,NCD_region,SDI,World_bank_2015,iso3,LocID,wb2021
North Africa and Middle East,North Africa and Middle East,Sudan,Sudan,Sudan,Sudan,Sudan,Sub-Saharan Africa,Low-middle SDI,LMIC,SDN,729,LIC
Latin America and Caribbean,Caribbean,Suriname,Suriname,Suriname,Suriname,Suriname,Latin America and Caribbean,Middle SDI,UMIC,SUR,740,UMIC
Sub-Saharan Africa,Southern Sub-Saharan Africa,Swaziland,Eswatini,Eswatini,Eswatini,Swaziland,Sub-Saharan Africa,Low-middle SDI,LMIC,SWZ,748,LMIC
High-income,Western Europe,Sweden,Sweden,Sweden,Sweden,Sweden,High-income Western countries,High SDI,HIC,SWE,752,HIC
High-income,Western Europe,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,High-income Western countries,High SDI,HIC,CHE,756,HIC
North Africa and Middle East,North Africa and Middle East,Syria,Syrian Arab Republic,Syrian Arab Republic,Syrian Arab Republic,Syrian Arab Republic,"Central Asia, Middle East and North Africa",Low-middle SDI,LMIC,SYR,760,LIC
"Southeast Asia, East Asia, and Oceania",East Asia,Taiwan (Province of China),Taiwan (Province of China),NA,"China, Taiwan Province of China",Taiwan,East and South East Asia,High SDI,HIC,TWN,158,HIC
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Tajikistan,Tajikistan,Tajikistan,Tajikistan,Tajikistan,"Central Asia, Middle East and North Africa",Low-middle SDI,LMIC,TJK,762,LMIC
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Tanzania,United Republic of Tanzania,Tanzania,United Republic of Tanzania,Tanzania,Sub-Saharan Africa,Low SDI,LIC,TZA,834,LMIC
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Thailand,Thailand,Thailand,Thailand,Thailand,East and South East Asia,Middle SDI,UMIC,THA,764,UMIC
Latin America and Caribbean,Caribbean,The Bahamas,Bahamas,"Bahamas, The",Bahamas,Bahamas,Latin America and Caribbean,High-middle SDI,HIC,BHS,44,HIC
Sub-Saharan Africa,Western Sub-Saharan Africa,The Gambia,Gambia,"Gambia, The",Gambia,Gambia,Sub-Saharan Africa,Low SDI,LIC,GMB,270,LIC
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Timor-Leste,Timor-Leste,Timor-Leste,Timor-Leste,Timor-Leste,East and South East Asia,Low-middle SDI,LMIC,TLS,626,LMIC
Sub-Saharan Africa,Western Sub-Saharan Africa,Togo,Togo,Togo,Togo,Togo,Sub-Saharan Africa,Low SDI,LIC,TGO,768,LIC
"Southeast Asia, East Asia, and Oceania",Oceania,Tonga,Tonga,Tonga,Tonga,Tonga,NA,Low-middle SDI,LMIC,TON,776,UMIC
Latin America and Caribbean,Caribbean,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Latin America and Caribbean,High-middle SDI,HIC,TTO,780,HIC
North Africa and Middle East,North Africa and Middle East,Tunisia,Tunisia,Tunisia,Tunisia,Tunisia,"Central Asia, Middle East and North Africa",Middle SDI,LMIC,TUN,788,LMIC
North Africa and Middle East,North Africa and Middle East,Turkey,Turkey,Turkey,Turkey,Turkey,"Central Asia, Middle East and North Africa",High-middle SDI,UMIC,TUR,792,UMIC
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Turkmenistan,Turkmenistan,Turkmenistan,Turkmenistan,Turkmenistan,"Central Asia, Middle East and North Africa",High-middle SDI,UMIC,TKM,795,UMIC
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Uganda,Uganda,Uganda,Uganda,Uganda,Sub-Saharan Africa,Low SDI,LIC,UGA,800,LIC
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Central and Eastern Europe,High-middle SDI,LMIC,UKR,804,LMIC
North Africa and Middle East,North Africa and Middle East,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,"Central Asia, Middle East and North Africa",High-middle SDI,HIC,ARE,784,HIC
High-income,Western Europe,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,High-income Western countries,High SDI,HIC,GBR,826,HIC
High-income,High-income North America,United States,United States of America,United States,United States of America,United States of America,High-income Western countries,High SDI,HIC,USA,840,HIC
High-income,Southern Latin America,Uruguay,Uruguay,Uruguay,Uruguay,Uruguay,Latin America and Caribbean,Middle SDI,HIC,URY,858,HIC
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,"Central Asia, Middle East and North Africa",Middle SDI,LMIC,UZB,860,LMIC
"Southeast Asia, East Asia, and Oceania",Oceania,Vanuatu,Vanuatu,Vanuatu,Vanuatu,Vanuatu,Oceania,Low-middle SDI,LMIC,VUT,548,LMIC
Latin America and Caribbean,Central Latin America,Venezuela,Venezuela (Bolivarian Republic of),"Venezuela, RB",Venezuela (Bolivarian Republic of),Venezuela,Latin America and Caribbean,Middle SDI,UMIC,VEN,862,UMIC
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Vietnam,Viet Nam,Vietnam,Viet Nam,Viet Nam,East and South East Asia,Middle SDI,LMIC,VNM,704,LMIC
Latin America and Caribbean,Caribbean,"Virgin Islands, U.S.",United States Virgin Islands,Virgin Islands (U.S.),United States Virgin Islands,NA,NA,High SDI,HIC,VIR,850,HIC
North Africa and Middle East,North Africa and Middle East,Yemen,Yemen,"Yemen, Rep.",Yemen,Yemen,"Central Asia, Middle East and North Africa",Low SDI,LMIC,YEM,887,LIC
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Zambia,Zambia,Zambia,Zambia,Zambia,Sub-Saharan Africa,Low-middle SDI,LMIC,ZMB,894,LMIC
Sub-Saharan Africa,Southern Sub-Saharan Africa,Zimbabwe,Zimbabwe,Zimbabwe,Zimbabwe,Zimbabwe,Sub-Saharan Africa,Low-middle SDI,LIC,ZWE,716,LMIC
