Super_region,Region,location_gbd,gbd2019,location_wb,location_who,location_ncdrisc,NCD_region,SDI,World_bank_2015,iso3,LocID,wb2021
Sub-Saharan Africa,Central Sub-Saharan Africa,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Central African Republic,Sub-Saharan Africa,Low SDI,LIC,CAF,140,LIC
Sub-Saharan Africa,Western Sub-Saharan Africa,Chad,Chad,Chad,Chad,Chad,Sub-Saharan Africa,Low SDI,LIC,TCD,148,LIC
High-income,Southern Latin America,Chile,Chile,Chile,Chile,Chile,Latin America and Caribbean,High-middle SDI,HIC,CHL,152,HIC
"Southeast Asia, East Asia, and Oceania",East Asia,China,China,China,China,China,East and South East Asia,Middle SDI,UMIC,CHN,156,UMIC
Latin America and Caribbean,Central Latin America,Colombia,Colombia,Colombia,Colombia,Colombia,Latin America and Caribbean,Middle SDI,UMIC,COL,170,UMIC
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Comoros,Comoros,Comoros,Comoros,Comoros,Sub-Saharan Africa,Low SDI,LIC,COM,174,LMIC
Sub-Saharan Africa,Central Sub-Saharan Africa,Congo,Congo,"Congo, Rep.",Congo,Congo,Sub-Saharan Africa,Low-middle SDI,LMIC,COG,178,LMIC
Latin America and Caribbean,Central Latin America,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Latin America and Caribbean,Middle SDI,UMIC,CRI,188,UMIC
Sub-Saharan Africa,Western Sub-Saharan Africa,Cote d'Ivoire,Côte d'Ivoire,Cote d'Ivoire,Côte d'Ivoire,Cote d'Ivoire,Sub-Saharan Africa,Low SDI,LMIC,CIV,384,LMIC
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Croatia,Croatia,Croatia,Croatia,Croatia,Central and Eastern Europe,High SDI,HIC,HRV,191,HIC
Latin America and Caribbean,Caribbean,Cuba,Cuba,Cuba,Cuba,Cuba,Latin America and Caribbean,High-middle SDI,UMIC,CUB,192,UMIC
High-income,Western Europe,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,High-income Western countries,High SDI,HIC,CYP,196,HIC
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Czech Republic,Czechia,Czech Republic,Czechia,Czech Republic,Central and Eastern Europe,High SDI,HIC,CZE,203,HIC
Sub-Saharan Africa,Central Sub-Saharan Africa,Democratic Republic of the Congo,Democratic Republic of the Congo,"Congo, Dem. Rep.",Democratic Republic of the Congo,DR Congo,Sub-Saharan Africa,Low SDI,LIC,COD,180,LIC
High-income,Western Europe,Denmark,Denmark,Denmark,Denmark,Denmark,High-income Western countries,High SDI,HIC,DNK,208,HIC
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Djibouti,Djibouti,Djibouti,Djibouti,Djibouti,Sub-Saharan Africa,Low SDI,LMIC,DJI,262,LMIC
Latin America and Caribbean,Caribbean,Dominica,Dominica,Dominica,NA,Dominica,NA,Middle SDI,UMIC,DMA,212,UMIC
Latin America and Caribbean,Caribbean,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Latin America and Caribbean,Middle SDI,UMIC,DOM,214,UMIC
Latin America and Caribbean,Andean Latin America,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador,Latin America and Caribbean,Middle SDI,UMIC,ECU,218,UMIC
North Africa and Middle East,North Africa and Middle East,Egypt,Egypt,"Egypt, Arab Rep.",Egypt,Egypt,"Central Asia, Middle East and North Africa",Middle SDI,LMIC,EGY,818,LMIC
Latin America and Caribbean,Central Latin America,El Salvador,El Salvador,El Salvador,El Salvador,El Salvador,Latin America and Caribbean,Middle SDI,LMIC,SLV,222,LMIC
Sub-Saharan Africa,Central Sub-Saharan Africa,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Middle SDI,UMIC,GNQ,226,UMIC
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Eritrea,Eritrea,Eritrea,Eritrea,Eritrea,Sub-Saharan Africa,Low SDI,LIC,ERI,232,LIC
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Estonia,Estonia,Estonia,Estonia,Estonia,Central and Eastern Europe,High SDI,HIC,EST,233,HIC
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Sub-Saharan Africa,Low SDI,LIC,ETH,231,LIC
"Southeast Asia, East Asia, and Oceania",Oceania,Federated States of Micronesia,Micronesia (Federated States of),"Micronesia, Fed. Sts.",Micronesia (Fed. States of),Micronesia (Federated States of),NA,Low-middle SDI,LMIC,FSM,583,LMIC
"Southeast Asia, East Asia, and Oceania",Oceania,Fiji,Fiji,Fiji,Fiji,Fiji,Oceania,Middle SDI,UMIC,FJI,242,UMIC
High-income,Western Europe,Finland,Finland,Finland,Finland,Finland,High-income Western countries,High SDI,HIC,FIN,246,HIC
High-income,Western Europe,France,France,France,France,France,High-income Western countries,High SDI,HIC,FRA,250,HIC
Sub-Saharan Africa,Central Sub-Saharan Africa,Gabon,Gabon,Gabon,Gabon,Gabon,Sub-Saharan Africa,Low-middle SDI,UMIC,GAB,266,UMIC
