,iso3,country,region,salt policy,salt policy: product reform,salt policy: reg salt content,salt policy: public awareness pgm,salt policy: FOPL,salt policy: enforcement,prog7a,AreaName,NAintake,reformRRR,envRRR,foplRRR,mediaRRR,reduced,target,reduxadj,mort.redux,coverage,,
150,SRB,Serbia,EUR,no,no,no,no,no,voluntary,not achieved,Serbia,4.46,0.15,0.07,0.1,0.05,1.44558635,3.01441365,1.44558635,0.081825642,0,,
151,SYC,Seychelles,AFR,no,no,no,no,no,voluntary,not achieved,Seychelles,3.84,0.15,0.07,0.1,0.05,1.2446304,2.5953696,0.84,0.04754717,0,,
152,SLE,Sierra Leone,AFR,no,no,no,no,no,voluntary,not achieved,Sierra Leone,2.73,0.15,0.07,0.1,0.05,0.884854425,1.845145575,0,0,0,,
153,SGP,Singapore,WPR,yes,yes,no,yes,yes,voluntary,fully achieved,Singapore,6.47,0,0.07,0,0,0.4529,6.0171,0.4529,0.025635849,0.75,,
154,SVK,Slovakia,EUR,yes,yes,yes,no,no,mandatory,partially achieved,Slovakia,4.67,0,0,0.1,0.05,0.67715,3.99285,0.67715,0.038329245,0.5,,
155,SVN,Slovenia,EUR,yes,yes,yes,yes,no,voluntary,partially achieved,Slovenia,4.73,0,0,0.1,0,0.473,4.257,0.473,0.026773585,0.75,,
156,SLB,Solomon Islands,WPR,no,no,no,no,no,voluntary,not achieved,Solomon Islands,3.22,0.15,0.07,0.1,0.05,1.04367445,2.17632555,0.22,0.01245283,0,,
157,SOM,Somalia,EMR,no,no,no,no,no,voluntary,not achieved,Somalia,2.5,0.15,0.07,0.1,0.05,0.81030625,1.68969375,0,0,0,,
158,ZAF,South Africa,AFR,yes,yes,no,yes,no,mandatory,partially achieved,South Africa,3.18,0,0.07,0.1,0,0.51834,2.66166,0.18,0.010188679,0.5,,
159,KOR,Republic of Korea,WPR,yes,yes,yes,yes,yes,voluntary,fully achieved,Korea Rep,5.22,0,0,0,0,0,5.22,0,0,1,,
160,SSD,South Sudan,AFR,no,no,no,no,no,voluntary,not achieved,South Sudan,2.76,0.15,0.07,0.1,0.05,0.8945781,1.8654219,0,0,0,,
161,ESP,Spain,EUR,yes,yes,yes,yes,no,voluntary,partially achieved,Spain,3.9,0,0,0.1,0,0.39,3.51,0.39,0.022075472,0.75,,
162,LKA,Sri Lanka,SEAR,yes,yes,yes,yes,yes,mandatory,fully achieved,Sri Lanka,4.6,0,0,0,0,0,4.6,0,0,1,,
163,SDN,Sudan,EMR,no,no,no,no,no,voluntary,not achieved,Sudan,3.68,0.15,0.07,0.1,0.05,1.1927708,2.4872292,0.68,0.038490566,0,,
164,SUR,Suriname,AMR,no,no,no,no,no,voluntary,not achieved,Suriname,2.75,0.15,0.07,0.1,0.05,0.891336875,1.858663125,0,0,0,,
165,SWZ,Eswatini,AFR,no,no,no,no,no,voluntary,not achieved,Swaziland,3.36,0.15,0.07,0.1,0.05,1.0890516,2.2709484,0.36,0.020377358,0,,
166,SWE,Sweden,EUR,yes,no,no,no,yes,voluntary,partially achieved,Sweden,4.62,0.15,0.07,0,0.05,1.1504955,3.4695045,1.1504955,0.065122387,0.25,,
167,CHE,Switzerland,EUR,yes,yes,yes,yes,no,voluntary,partially achieved,Switzerland,4,0,0,0.1,0,0.4,3.6,0.4,0.022641509,0.75,,
168,SYR,Syrian Arab Republic,EMR,no,no,no,no,no,voluntary,not achieved,Syria,3.73,0.15,0.07,0.1,0.05,1.208976925,2.521023075,0.73,0.041320755,0,,
169,TWN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
170,TJK,Tajikistan,EUR,yes,no,no,no,no,voluntary,not achieved,Tajikistan,3.9,0.15,0.07,0.1,0.05,1.26407775,2.63592225,0.9,0.050943396,0,,
171,TZA,United Republic of Tanzania,AFR,no,no,no,no,no,voluntary,not achieved,Tanzania,3.14,0.15,0.07,0.1,0.05,1.01774465,2.12225535,0.14,0.007924528,0,,
172,THA,Thailand,SEAR,yes,yes,yes,yes,yes,voluntary,fully achieved,Thailand,4.7,0,0,0,0,0,4.7,0,0,1,,
173,BHS,Bahamas,AMR,no,no,no,no,no,voluntary,not achieved,Bahamas,2.83,0.15,0.07,0.1,0.05,0.917266675,1.912733325,0,0,0,,
174,GMB,Gambia,AFR,no,no,no,no,no,voluntary,not achieved,Gambia The,2.74,0.15,0.07,0.1,0.05,0.88809565,1.85190435,0,0,0,,
175,TLS,Timor-Leste,SEAR,yes,no,no,yes,no,voluntary,partially achieved,Timor Leste,4.28,0.15,0.07,0.1,0,1.234994,3.045006,1.234994,0.069905321,0.25,,
176,TGO,Togo,AFR,no,no,no,no,no,voluntary,not achieved,Togo,2.72,0.15,0.07,0.1,0.05,0.8816132,1.8383868,0,0,0,,
177,TON,Tonga,WPR,no,no,no,no,no,voluntary,not achieved,Tonga,3.44,0.15,0.07,0.1,0.05,1.1149814,2.3250186,0.44,0.02490566,0,,
178,TTO,Trinidad and Tobago,AMR,no,no,no,no,no,voluntary,not achieved,Trinidad and Tobago,2.8,0.15,0.07,0.1,0.05,0.907543,1.892457,0,0,0,,
179,TUN,Tunisia,EMR,yes,yes,no,yes,yes,voluntary,fully achieved,Tunisia,3.92,0,0.07,0,0,0.2744,3.6456,0.2744,0.015532075,0.75,,
180,TUR,Turkey,EUR,yes,yes,yes,yes,yes,mandatory,fully achieved,Turkey,3.13,0,0,0,0,0,3.13,0,0,1,,
181,TKM,Turkmenistan,EUR,yes,yes,yes,yes,no,mandatory,partially achieved,Turkmenistan,4.4,0,0,0.1,0,0.44,3.96,0.44,0.02490566,0.75,,
182,UGA,Uganda,AFR,no,no,no,no,no,voluntary,not achieved,Uganda,2.73,0.15,0.07,0.1,0.05,0.884854425,1.845145575,0,0,0,,
183,UKR,Ukraine,EUR,no,no,no,no,no,voluntary,not achieved,Ukraine,3.68,0.15,0.07,0.1,0.05,1.1927708,2.4872292,0.68,0.038490566,0,,
184,ARE,United Arab Emirates,EMR,yes,yes,yes,yes,yes,voluntary,fully achieved,United Arab Emirates,4.52,0,0,0,0,0,4.52,0,0,1,,
185,GBR,United Kingdom,EUR,yes,yes,yes,yes,yes,mandatory,fully achieved,United Kingdom,3.48,0,0,0,0,0,3.48,0,0,1,,
186,USA,United States of America,AMR,yes,yes,yes,yes,no,voluntary,partially achieved,United States Of America,5.11,0,0,0.1,0,0.511,4.599,0.511,0.028924528,0.75,,
187,URY,Uruguay,AMR,yes,yes,no,yes,yes,mandatory,fully achieved,Uruguay,4.17,0,0.07,0,0,0.2919,3.8781,0.2919,0.016522642,0.75,,
188,UZB,Uzbekistan,EUR,yes,yes,no,yes,yes,mandatory,fully achieved,Uzbekistan,4.13,0,0.07,0,0,0.2891,3.8409,0.2891,0.016364151,0.75,,
189,VUT,Vanuatu,WPR,no,no,no,no,no,voluntary,not achieved,Vanuatu,3.3,0.15,0.07,0.1,0.05,1.06960425,2.23039575,0.3,0.016981132,0,,
190,VEN,Venezuela (Bolivarian Republic of),AMR,no,no,no,no,no,voluntary,not achieved,Venezuela,3.86,0.15,0.07,0.1,0.05,1.25111285,2.60888715,0.86,0.048679245,0,,
191,VNM,Viet Nam,WPR,yes,yes,yes,yes,yes,voluntary,fully achieved,Vietnam,4.41,0,0,0,0,0,4.41,0,0,1,,
192,VIR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
193,YEM,Yemen,EMR,no,no,no,no,no,voluntary,not achieved,Yemen,3.61,0.15,0.07,0.1,0.05,1.170082225,2.439917775,0.61,0.034528302,0,,
194,ZMB,Zambia,AFR,no,no,no,no,no,voluntary,not achieved,Zambia,2.81,0.15,0.07,0.1,0.05,0.910784225,1.899215775,0,0,0,,
195,ZWE,Zimbabwe,AFR,no,no,no,no,no,voluntary,not achieved,Zimbabwe,3.16,0.15,0.07,0.1,0.05,1.0242271,2.1357729,0.16,0.009056604,0,,
