"HLI_group","Country","iso3","Cumulative deaths averted","Cumulative DALYs averted","Cumulative incremental cost","Total cost (2030)","pop","GGHED"
"Sub-Saharan Africa","Sierra Leone","SLE",67106.407070296,1316869.32575724,307574225.80391,85100453.4977656,8141343,142978472.265203
"Sub-Saharan Africa","Somalia","SOM",78551.7132638741,1223655.31305381,553057234.993744,161402339.628821,16359500,NA
"Sub-Saharan Africa","South Africa","ZAF",481336.514239484,6516103.42414795,9540207189.25225,4986240066.18296,60041996,9922657845.56844
"Sub-Saharan Africa","South Sudan","SSD",52375.3892824263,744089.924134536,519390636.672262,149241153.325228,11381377,NA
"Sub-Saharan Africa","Sudan","SDN",363723.722549981,4890988.49340963,2701140151.04655,900980202.36722,44909351,222665351.075363
"Sub-Saharan Africa","Swaziland","SWZ",7675.93128691988,114430.845854736,182550435.85163,61414221.7671271,1172369,41631596.0742552
"Sub-Saharan Africa","Tanzania","TZA",236193.708344424,3357462.89780083,4121440233.36994,1119687329.30391,61498438,2854174177.6909
"Sub-Saharan Africa","The Gambia","GMB",12811.6583412676,192887.918279132,102080025.385133,30367130.0538927,2486937,19340263.7720002
"Sub-Saharan Africa","Togo","TGO",57404.4205355162,910090.991505821,450465709.761261,125429134.553913,8478242,77536496.3598677
"Sub-Saharan Africa","Uganda","UGA",176085.574737232,3007864.95678111,2266562383.1675,635336664.637981,47123533,539812388.253363
"Sub-Saharan Africa","Zambia","ZMB",76056.8883498086,1050383.1488638,926567861.453559,300339174.786719,18920657,477227593.37519
"Sub-Saharan Africa","Zimbabwe","ZWE",82950.3393181979,1148700.52591206,948074476.898408,295597057.675836,15092171,116858601.163642
NA,"Belize","BLZ",2101.73063586839,28067.1918796139,61207453.4941704,32014960.3990152,404915,84775506.8093881
NA,"Maldives","MDV",1687.83157600209,17158.1824623548,99441341.7094637,43101773.2477637,543620,349721792.908767
NA,"Vanuatu","VUT",3301.96299198715,36607.4587461649,54678000.0070279,16169622.6209385,314464,29591363.5841361
"All countries","China",NA,14656041.8154069,121421825.452213,519300550170.654,259936997665.179,1412360000,729999763132.969
"All countries","Afghanistan",NA,202357.817965641,2864147.26789562,1735870897.76873,661668818.607077,39835428,215842074.283403
"All countries","Albania",NA,52359.3429668981,309485.980259506,615345149.837434,264297446.693091,2811666,948750532.086781
"All countries","Algeria",NA,312391.386380189,3075379.41636848,7185516484.71546,3622162490.65531,44616626,4648857998.2507
"All countries","Armenia",NA,47286.8510886016,375609.850511961,858974825.385119,283672489.813324,2968128,317513994.016393
"All countries","Azerbaijan",NA,129126.979206118,1330237.83795728,1834233660.65169,920537549.111323,10145212,887542265.115656
"All countries","Bangladesh",NA,1073078.11031867,13193486.6483413,19988671805.9184,6803005479.33006,166303494,2880845577.07823
"All countries","Belarus",NA,143571.825550241,1036185.25734083,2163263420.92324,1158192853.2162,9340314,2809837578.63602
"All countries","Bhutan",NA,6085.09254646103,81498.518838711,143347651.443151,44065115.2355373,779900,64197564.9690621
"All countries","Bosnia and Herzegovina",NA,51938.8314971928,336094.533167592,984005753.302847,554421713.945476,3263459,1187872232.47263
"All countries","Bulgaria",NA,108223.723064052,718749.329950179,2421754107.42553,1436625664.90922,6899125,4660237495.91449
"All countries","Cambodia",NA,147014.39944167,1690340.57760182,1154400176.12111,430868951.729715,16946446,601065268.822423
"All countries","Djibouti",NA,6508.48068853353,91258.9936494537,146652216.944128,47533641.8090104,1002197,31303053.185528
"All countries","Egypt",NA,1020058.0187991,11319157.1297458,13679600366.7322,5689814184.71586,104258327,7530402855.9399
"All countries","Fiji",NA,12277.6579060523,144490.474749046,258635630.490918,111845027.734211,902899,313034399.624698
"All countries","Georgia",NA,57344.9110723499,405056.992038105,786789898.233634,426802944.524549,3708610,1119409621.08449
"All countries","Indonesia",NA,3231425.14281961,36487449.6558746,52620978323.4916,16395331605.2169,276361788,53668011148.4414
"All countries","Iran",NA,460822.017590797,3861535.9863624,17367286502.4405,10328069503.746,85028760,25466292219.9981
"All countries","Iraq",NA,270302.907472545,3271271.36101094,6064393465.78317,3228547764.19619,41179351,11461163829.1889
"All countries","Jordan",NA,40156.7543808219,598286.635760458,1056019377.21725,755549298.140411,10269022,1521830338.61152
"All countries","Kazakhstan",NA,68372.8227032413,774044.590820623,3192653447.35747,2967620042.6271,19002586,5023310842.07575
"All countries","Kyrgyzstan",NA,88242.8907966368,724443.097229783,465219635.687687,173851232.277174,6694200,175570804.888385
"All countries","Laos",NA,56030.9664996812,671327.267555426,744469240.614172,263186135.601572,7379358,537646451.894053
"All countries","Lebanon",NA,39039.4367823952,364958.469666416,1397489865.30373,819822362.054675,6769151,3570554108.52167
"All countries","Libya",NA,51474.7108772506,634732.842024951,1627767064.43288,757922402.003774,6958538,0
"All countries","Macedonia",NA,32521.6463629692,243421.993827376,620739304.564349,294067962.687748,2065092,588263022.929728
"All countries","Malaysia",NA,153534.818654999,1972426.19096618,11241473741.4972,5832688528.38981,32776195,11377766495.904
"All countries","Moldova",NA,99488.9312487399,652103.78419791,643453058.583691,389528753.547922,2573928,0
"All countries","Mongolia",NA,38250.8278204848,456538.881664188,423448172.716952,171561559.103969,3329282,426400451.377268
"All countries","Montenegro",NA,6096.50349241152,59379.4644416288,186094481.918968,111838014.115106,620173,0
"All countries","Morocco",NA,468846.338371858,3967040.57406055,8002231227.61229,2829739324.35233,37344787,3050732226.79802
"All countries","Myanmar",NA,534459.994385213,5540070.11714928,4013052521.00946,1474880931.13282,54806014,1568473862.18115
"All countries","Nepal",NA,348785.588775117,3600698.38703977,3003911394.48467,830936489.314627,29674920,899334868.601099
"All countries","North Korea",NA,489365.530848494,3977710.33233787,1635169259.16674,581282490.050977,25887045,0
"All countries","Pakistan",NA,1690812.13936675,20478236.348725,15748730674.504,5806703510.46835,225199929,3715837605.89404
"All countries","Papua New Guinea",NA,97105.2462119254,1251054.56652043,1439486452.98046,452795066.236967,9119005,421391385.460914
"All countries","Philippines",NA,1312063.03565708,18618972.4888689,14830741343.7967,5532092566.12223,111046910,16484245085.6141
"All countries","Romania",NA,218366.064403136,1628995.05788897,6696023878.6284,4537708351.72644,19115146,17808514902.1413
"All countries","Russian Federation",NA,1759452.6591873,15101979.0376923,48047110514.2712,26769780273.1734,143446060,60152951256.1049
"All countries","Serbia",NA,93052.3448121877,647272.621227472,2260529570.89205,1538507040.06039,6844078,4144777301.08331
"All countries","Solomon Islands",NA,5271.5957178643,67519.705871519,100833914.902176,30263173.9251708,703995,87533152.8577296
"All countries","Sri Lanka",NA,197811.437569869,1984053.96628758,5555749554.53788,2099721085.1604,22156000,1613025423.37662
"All countries","Syria",NA,211840.785126847,3121566.78905894,2326445477.2554,1007516978.29491,18275704,0
"All countries","Tajikistan",NA,97685.2211210826,1015569.19250398,673737050.074848,239124309.820628,9749625,249535716.526279
"All countries","Thailand",NA,399378.789987595,3974800.69597908,17459854054.959,9240384801.56119,69950844,22520093702.4083
"All countries","Timor-Leste",NA,10153.7114649618,108508.375049397,104992578.213236,33819720.5677654,1343875,109522635.272718
"All countries","Tunisia",NA,177377.819802051,1587892.92576873,2730426278.4004,1057382775.73651,11935764,1880759299.01623
"All countries","Turkey",NA,270562.430124365,3099979.98455592,19322783984.3021,13673666162.1313,85042736,31442724844.6818
"All countries","Turkmenistan",NA,48968.8388252005,514214.578253319,1213699056.29475,635190858.215992,6117933,1658249344.62197
"All countries","Ukraine",NA,980749.544000515,6855511.54156554,8673095568.04835,3482894718.94379,43814581,10724297679.9176
"All countries","Uzbekistan",NA,402017.766052438,3803499.89866313,3352564489.02277,1354154944.80448,34915100,2244501685.3978
"All countries","Vietnam",NA,1176791.48418683,11712698.7732369,14402574514.4862,4977345708.33996,98168829,9915605701.88679
"All countries","Yemen",NA,215926.750531175,2593009.71702274,2489106799.39607,921419995.960246,30490639,456280583.777643
"All countries","India",NA,17381328.7470872,190979420.825172,168109153508.009,58304073074.9171,1393409033,69426501929.8275
"All countries","Argentina",NA,210021.709757867,2496535.1272504,14294212504.245,6874911089.86764,45808747,30183920455.4921
"All countries","Bolivia",NA,79980.8039020176,1294302.72655259,1806210267.27025,660518264.174176,11832936,3650697913.09157
"All countries","Brazil",NA,1588309.0537212,19957786.5034526,45561217318.6364,30091259095.1954,213993441,114020753528.891
"All countries","Colombia",NA,425330.782542834,4586121.60141164,10028630933.5556,5968361702.44349,51265841,21240545117.8787
"All countries","Costa Rica",NA,19267.7556101833,330915.036612821,1445461877.01693,1259351155.6805,5139053,3896875924.21741
"All countries","Cuba",NA,72552.4866041004,708085.100328865,3421348436.76283,2406103673.11251,11317498,0
"All countries","Dominican Republic",NA,99072.8358856121,1115544.29063663,2258579015.92502,1288131576.44099,10953714,4338950617.86298
"All countries","Ecuador",NA,85241.4396559275,1088771.8206024,3455192713.52885,1767130880.78965,17888474,4551806776.77664
"All countries","El Salvador",NA,40955.0643193117,518697.901536785,979031049.022533,478611683.038294,6518500,1131942106.40458
"All countries","Guatemala",NA,80611.4645815131,1147623.46460843,4218570592.35397,1472215587.21302,17109746,3688366685.63305
"All countries","Guyana",NA,8766.39936117742,117941.458118069,240744219.371908,126336659.005943,790329,897105268.111848
"All countries","Haiti",NA,253400.987037696,4318987.8043224,1372367409.18446,405646003.669026,11541683,284534287.047748
"All countries","Honduras",NA,58387.5079825781,709737.624544504,1056678395.15248,483780147.874078,10062994,866634250.904843
"All countries","Jamaica",NA,27512.9551102211,251218.138434454,582674789.305202,335416610.415234,2973462,946727410.658617
"All countries","Mexico",NA,1184171.90508601,13431039.6090628,42768440447.1576,23236050133.894,130262220,46008836444.759
"All countries","Nicaragua",NA,51894.0740234925,819360.647412964,593056088.939534,284806196.522285,6702379,505095492.206182
"All countries","Panama",NA,18669.0431007193,265941.494715376,1694817300.08182,1019451302.63518,4381583,5375428312.9157
"All countries","Paraguay",NA,45785.1127806137,673432.752940418,1351716541.78529,589949723.799504,7219641,2230430818.81676
"All countries","Peru",NA,169549.569042646,2042181.21352576,7008479943.44901,3150351624.29007,33359416,15459053614.9842
"All countries","Suriname",NA,6111.26702402047,68406.4321115224,148332539.183123,81710964.9606059,591798,253816045.405283
"All countries","Venezuela",NA,260150.852635008,2594577.13828834,6615177642.39485,4533092659.59297,28704947,671951299.719586
"All countries","Angola",NA,142441.94404255,1886228.57423342,2273240413.12463,925985349.00503,33933611,889688493.198643
"All countries","Benin",NA,76142.2696969555,1332579.34864393,783754955.280215,228510983.963613,12451031,211902163.900935
"All countries","Botswana",NA,11143.1949923085,136277.010973536,491868499.002978,234448966.51463,2397240,507942783.677844
"All countries","Burkina Faso",NA,112720.503491126,1753694.28787116,934112246.711973,264274968.258269,21497097,685431553.891943
"All countries","Burundi",NA,65259.3708916257,1143553.19383443,407876524.609315,118679721.786113,12255429,124418385.849659
"All countries","Cameroon",NA,173504.382194396,3004755.31250115,1627993970.75345,495900337.206318,27224262,468477113.643532
"All countries","Cape Verde",NA,3715.24476910822,45467.3627125381,82841393.0435459,29775546.9408821,561901,80813776.715319
"All countries","Central African Republic",NA,32395.4085932494,448014.083920766,209670779.560932,57515975.0121219,4919987,28404571.392892
"All countries","Chad",NA,88874.5687100172,1723146.33741203,621982394.03966,180376436.404461,16914985,179736670.050645
"All countries","Comoros",NA,5192.83736004066,79672.3199992467,65344458.9781231,18659279.646752,888456,11475755.319667
"All countries","Congo",NA,31848.7205253624,385469.486591306,458304733.679542,146834801.364858,5657017,76155938.57875
"All countries","Cote d'Ivoire",NA,170012.250777958,3212553.34763841,2251242936.22783,707362955.947742,27053629,1622154334.87098
"All countries","Democratic Republic of the Congo",NA,528860.896545002,8249719.25265564,3835337270.28771,1124311083.92986,92377986,437340493.370411
"All countries","Equatorial Guinea",NA,7409.60779494382,126736.826723066,234595647.441151,92911724.0688381,1449891,118056275.262124
"All countries","Eritrea",NA,23549.1288058082,272585.073432616,177024596.975462,49982631.9107981,3213969,14333781.9071253
"All countries","Ethiopia",NA,522034.077714496,7196398.06545483,6085420507.0619,1646102791.6257,117876226,1656726219.99187
"All countries","Gabon",NA,10702.0223303062,123714.453677118,494384302.021582,203538732.250826,2278829,338608693.337966
"All countries","Ghana",NA,174520.083776112,2695273.82663613,2512907663.99303,896518725.199082,31732128,702389081.754584
"All countries","Guinea",NA,78450.5121149787,1137102.14680565,687833969.577944,196080422.083421,13497237,284205298.240511
"All countries","Guinea-Bissau",NA,11176.8905895242,159629.771883143,89073962.1265064,26188951.7084807,2015490,20113896.33038
"All countries","Kenya",NA,207438.282943799,3316811.93062671,3800126659.05305,1177732061.14364,54985702,5290784978.26286
"All countries","Lesotho",NA,23188.8707524669,344576.001456199,128444640.2934,46436598.6875504,2159067,87898493.0827582
"All countries","Liberia",NA,24542.9554110363,354570.591292697,214392090.004633,64214936.8137587,5180208,95968611.5586951
"All countries","Madagascar",NA,176018.739758099,2316395.64136832,1459383006.49365,398738253.54502,28427333,501724072.061488
"All countries","Malawi",NA,68816.8314330672,983822.522643154,869488333.208287,252581643.739699,19647681,265617560.285116
"All countries","Mali",NA,94604.4977794312,1468860.395755,789505515.609728,245573754.578451,20855724,713841491.110379
"All countries","Mauritania",NA,22476.039928749,376754.461352036,323970931.796139,105610611.847353,4775110,288637664.901932
"All countries","Mauritius",NA,9626.84755844846,132129.35086447,436704493.410991,340216920.913667,1266060,514937907.463898
"All countries","Mozambique",NA,177942.375863333,2669959.1849368,1419242341.87018,387485041.745839,32163045,683245334.572368
