"HLI_group","DALYs.averted","Incremental.cost","ICER"
"China",94192622.7535907,239621864671.525,2543.95575435222
"Latin America and the Caribbean",34232527.8456629,80028427643.9814,2337.78901764979
"Eurasia and the Mediterranean",130226294.81185,141261505433.874,1084.73872836486
"India",86291644.297281,52348652257.1444,606.647986412212
"Sub-Saharan Africa",41208692.0904912,22178214552.8258,538.19263431424
