"HLI_group","location_name","iso3","Cumulative deaths averted","Cumulative DALYs averted","Cumulative incremental cost","Total cost (2030)","pop","GGHED"
"Sub-Saharan Africa","Niger","NER",97713.47173248,1496681.05859138,328971346.041461,87176224.922013,25130810,526887150.747926
"Sub-Saharan Africa","Nigeria","NGA",1232095.12550143,20504337.6166177,5825050406.58494,2084300021.21455,211400704,9143264161.57126
"Sub-Saharan Africa","Rwanda","RWA",52665.6028831461,702604.579075118,388133156.163176,100150641.661733,13276517,525249218.035524
"Sub-Saharan Africa","Senegal","SEN",64352.8562286019,860145.850642619,458051059.060341,123284979.688428,17196308,366982940.238974
"Sub-Saharan Africa","Sierra Leone","SLE",58343.7235907982,1143906.01738727,117904630.896158,31669470.2764534,8141343,142978472.265203
"Sub-Saharan Africa","Somalia","SOM",65141.0413306481,959225.028368655,239989943.394988,65361845.7503148,16359500,NA
"Sub-Saharan Africa","South Africa","ZAF",454394.900677633,5932239.96686945,3250478047.99522,2013595269.6042,60041996,9922657845.56844
"Sub-Saharan Africa","South Sudan","SSD",45760.8505951026,626844.669400562,233206737.979239,62599353.863762,11381377,NA
"Sub-Saharan Africa","Sudan","SDN",296800.627113559,3868434.52367535,803231040.191248,298044603.689672,44909351,222665351.075363
"Sub-Saharan Africa","Swaziland","SWZ",7106.20737811616,101752.860270449,58930600.2408045,21892511.2039667,1172369,41631596.0742552
"Sub-Saharan Africa","Tanzania","TZA",210056.117169111,2878468.65185597,1885273051.2976,495723361.15227,61498438,2854174177.6909
"Sub-Saharan Africa","The Gambia","GMB",11478.2754633897,169970.247541985,40791997.9713346,11323377.2275351,2486937,19340263.7720002
"Sub-Saharan Africa","Togo","TGO",54108.4077093792,818848.027938914,224772132.636223,62948553.3046107,8478242,77536496.3598677
"Sub-Saharan Africa","Uganda","UGA",157310.070179512,2618490.86319883,940703746.149261,250628932.541966,47123533,539812388.253363
"Sub-Saharan Africa","Zambia","ZMB",69500.8078850595,920463.520940658,323543312.949411,115632510.318444,18920657,477227593.37519
"Sub-Saharan Africa","Zimbabwe","ZWE",79181.547266843,1047564.06978387,356722538.990597,111483844.15641,15092171,116858601.163642
NA,"Belize","BLZ",1972.7796957929,24265.601171707,17138624.7903998,11974851.2748968,404915,84775506.8093881
NA,"Maldives","MDV",1618.01213501265,15381.0858741549,31603322.6926903,16933064.0271222,543620,349721792.908767
NA,"Vanuatu","VUT",3137.98970594308,33877.5840812212,14221601.3570818,4681249.27405386,314464,29591363.5841361
"All countries","China",NA,14379710.8291042,113948845.319333,199320077742.664,122075015857.875,1412360000,729999763132.969
"All countries","Afghanistan",NA,172899.567839799,2386893.19255031,698414739.10141,204658591.231761,39835428,215842074.283403
"All countries","Albania",NA,51704.2248615017,295779.751219522,242846385.347672,127738591.697132,2811666,948750532.086781
"All countries","Algeria",NA,302243.214093431,2823674.15024058,2451740560.14138,1544247516.51261,44616626,4648857998.2507
"All countries","Armenia",NA,45526.5430272623,345944.341431969,346629219.244939,124168568.604154,2968128,317513994.016393
"All countries","Azerbaijan",NA,126487.270319823,1257321.96631292,829467366.294549,476241561.696736,10145212,887542265.115656
"All countries","Bangladesh",NA,1028797.74620129,12013723.9249315,6968334713.81042,2668583517.24772,166303494,2880845577.07823
"All countries","Belarus",NA,139820.378448867,961674.715472269,1016230238.34781,629924248.844707,9340314,2809837578.63602
"All countries","Bhutan",NA,5799.73373283953,73721.3619354095,47533734.6732593,16176195.4789849,779900,64197564.9690621
"All countries","Bosnia and Herzegovina",NA,50095.7160547184,311406.19625501,313160318.269319,211495750.503274,3263459,1187872232.47263
"All countries","Bulgaria",NA,106655.946603308,696923.500148936,1150422841.90667,724335698.015626,6899125,4660237495.91449
"All countries","Cambodia",NA,140191.357213449,1546155.7433842,439207334.916911,174969320.145578,16946446,601065268.822423
"All countries","Djibouti",NA,5971.62379411809,79249.7916280794,62507249.1083281,22360199.2477579,1002197,31303053.185528
"All countries","Egypt",NA,995171.024894065,10644134.0051618,6624749118.56358,2841435793.2255,104258327,7530402855.9399
"All countries","Fiji",NA,11171.1631460255,132553.982068021,49193373.7151587,27374312.255028,902899,313034399.624698
"All countries","Georgia",NA,55632.7288132184,366268.975590277,289339208.462116,190189987.548798,3708610,1119409621.08449
"All countries","Indonesia",NA,3072883.56607223,33717446.6497294,21460689034.594,7327060750.98413,276361788,53668011148.4414
"All countries","Iran",NA,364545.114439069,2904520.40582432,3793911008.7488,3164278277.33754,85028760,25466292219.9981
"All countries","Iraq",NA,261873.794704877,3068001.18097447,1771017076.77174,1185485023.54203,41179351,11461163829.1889
"All countries","Jordan",NA,38899.8290088872,575908.610804652,417247349.287711,334277027.150751,10269022,1521830338.61152
"All countries","Kazakhstan",NA,64991.8542292744,656901.675939215,955271399.177695,1098226800.58967,19002586,5023310842.07575
"All countries","Kyrgyzstan",NA,86730.3154739169,675081.391820521,228577510.112106,94260396.8245233,6694200,175570804.888385
"All countries","Laos",NA,53002.2033802299,605811.319643979,235557885.985706,89830298.2458465,7379358,537646451.894053
"All countries","Lebanon",NA,31163.0555562952,286064.90625505,297933386.854217,240177492.852962,6769151,3570554108.52167
"All countries","Libya",NA,49477.7847412314,588267.070943935,454145939.003558,274167664.987248,6958538,0
"All countries","Macedonia",NA,31338.4039325118,218611.804719322,232396884.485882,104865273.018073,2065092,588263022.929728
"All countries","Malaysia",NA,146316.411639538,1756026.58345852,3339627115.3823,2098080474.08809,32776195,11377766495.904
"All countries","Moldova",NA,98434.3350515813,630176.269141454,254075499.311178,223796606.64922,2573928,0
"All countries","Mongolia",NA,37235.3605623875,410858.265192023,177364409.707347,85490327.5610937,3329282,426400451.377268
"All countries","Montenegro",NA,5922.57294353166,49198.854133205,72597044.8123143,46678508.133998,620173,0
"All countries","Morocco",NA,456100.131276704,3745296.71124217,3613679307.04562,1355538649.02799,37344787,3050732226.79802
"All countries","Myanmar",NA,511034.155815185,5170147.29310543,1717190395.37799,651968645.991258,54806014,1568473862.18115
"All countries","Nepal",NA,324853.692846581,3300778.2388086,871317249.554432,230239504.776152,29674920,899334868.601099
"All countries","Pakistan",NA,1601966.37237554,18787017.9515884,6398589550.97238,2539444843.65693,225199929,3715837605.89404
"All countries","Papua New Guinea",NA,91348.4764571531,1147020.36315782,413676954.233619,141320766.737892,9119005,421391385.460914
"All countries","Philippines",NA,1261798.31328236,17803656.8083622,7904161897.69928,2901587901.44064,111046910,16484245085.6141
"All countries","Romania",NA,216007.903570542,1585561.05386826,3457141547.76296,2429008992.43412,19115146,17808514902.1413
"All countries","Russian Federation",NA,1689795.39736602,13625770.8068329,22510604926.7492,14466642196.3721,143446060,60152951256.1049
"All countries","Serbia",NA,90885.6817854804,614770.253042751,993614566.957556,678427814.911761,6844078,4144777301.08331
"All countries","Solomon Islands",NA,4978.48191232232,61414.2355477681,26977571.9415704,9080753.78200698,703995,87533152.8577296
"All countries","Sri Lanka",NA,184686.749555887,1817549.11943496,2224095006.78988,786721883.06662,22156000,1613025423.37662
"All countries","Syria",NA,207021.819401183,2829452.69327005,990368581.60475,442307482.430575,18275704,0
"All countries","Tajikistan",NA,94974.2005567232,926524.329950135,282587172.996436,111864893.208256,9749625,249535716.526279
"All countries","Thailand",NA,372230.842806368,3423807.59761017,5775882489.39553,3709894946.80192,69950844,22520093702.4083
"All countries","Timor-Leste",NA,9247.88518400239,96293.3683510627,29693998.6460095,10609464.3937415,1343875,109522635.272718
"All countries","Tunisia",NA,173816.645219674,1513529.79794253,1183441334.6375,466543132.141682,11935764,1880759299.01623
"All countries","Turkey",NA,257972.353520628,2830494.86738229,6869917929.27175,5814529137.60596,85042736,31442724844.6818
"All countries","Turkmenistan",NA,47744.0848943256,477611.635544381,380366607.858181,254027103.774454,6117933,1658249344.62197
"All countries","Ukraine",NA,967437.891631123,6657770.24839347,6189791763.74485,2348969070.44471,43814581,10724297679.9176
"All countries","Uzbekistan",NA,389983.637893815,3479794.38292565,1572864863.76689,681877368.129427,34915100,2244501685.3978
"All countries","Vietnam",NA,1127212.20959067,10694328.155681,6167613783.88256,2255682214.65856,98168829,9915605701.88679
"All countries","Yemen",NA,179063.318515407,2096365.54648302,721233259.337544,283231122.625991,30490639,456280583.777643
"All countries","India",NA,16672077.8988321,178297872.346651,63449658174.0898,23631289400.0335,1393409033,69426501929.8275
"All countries","Argentina",NA,202826.289535081,2326655.55193241,5039178155.73963,2948758683.30487,45808747,30183920455.4921
"All countries","Bolivia",NA,75423.5859417031,1130507.18743256,471497344.512403,193253890.523942,11832936,3650697913.09157
"All countries","Brazil",NA,1551635.26607804,19104871.8161755,20503185153.4128,13346471089.6938,213993441,114020753528.891
"All countries","Colombia",NA,411308.690135695,4113950.11870433,2410674246.03233,1800254736.29754,51265841,21240545117.8787
"All countries","Costa Rica",NA,18557.1263520573,317411.561574203,758922884.707916,504624371.941792,5139053,3896875924.21741
"All countries","Cuba",NA,68324.4660151573,605674.790396407,1082854091.94144,878338492.589747,11317498,0
"All countries","Dominican Republic",NA,96677.4554470363,1043757.00388847,696141517.656116,524272338.052402,10953714,4338950617.86298
"All countries","Ecuador",NA,79795.4759476589,936342.03457241,741453801.937625,490014912.866801,17888474,4551806776.77664
"All countries","El Salvador",NA,39413.2797715491,481614.984323798,509980018.006312,191575521.396514,6518500,1131942106.40458
"All countries","Guatemala",NA,74022.3894445808,963481.727753308,1072060146.99805,378395435.874111,17109746,3688366685.63305
"All countries","Guyana",NA,8458.29497407448,112341.016974791,89388886.2192086,50662587.2195562,790329,897105268.111848
"All countries","Haiti",NA,241655.264871845,4017415.86934004,677949646.99439,192781460.884244,11541683,284534287.047748
"All countries","Honduras",NA,55177.978166127,616037.937834606,287716059.56234,136929755.217791,10062994,866634250.904843
"All countries","Jamaica",NA,24901.9751182228,218562.440695781,106304102.378256,81943764.0001751,2973462,946727410.658617
"All countries","Mexico",NA,1117728.35069386,12458222.1185949,14301353805.683,7805332971.21031,130262220,46008836444.759
"All countries","Nicaragua",NA,50241.8857659205,781616.576821673,303074099.020774,118066812.875986,6702379,505095492.206182
"All countries","Panama",NA,17939.6239508866,252573.022548393,678712137.661111,388683062.441748,4381583,5375428312.9157
"All countries","Paraguay",NA,41572.7310241035,569559.783776634,384649623.424205,203402288.888627,7219641,2230430818.81676
"All countries","Peru",NA,162385.434254162,1792086.30120247,1688665635.78413,989013565.655814,33359416,15459053614.9842
"All countries","Suriname",NA,5816.2050144302,62313.2279338946,35576283.2475446,25180580.5454788,591798,253816045.405283
"All countries","Venezuela",NA,253169.684908062,2539672.02785624,2855356444.42636,1772863142.35783,28704947,671951299.719586
"All countries","Angola",NA,132589.546759157,1621106.93055031,617145971.278454,332090609.962255,33933611,889688493.198643
"All countries","Benin",NA,69862.899028237,1167510.70848933,338881044.845214,97792980.0233858,12451031,211902163.900935
"All countries","Botswana",NA,10527.7919505309,122992.00243024,125393526.220993,76129031.6446857,2397240,507942783.677844
"All countries","Burkina Faso",NA,100873.652223158,1525040.79387496,340799257.85281,92863954.5706409,21497097,685431553.891943
"All countries","Burundi",NA,51329.8077188226,801268.603838224,161928795.835864,42046839.7337737,12255429,124418385.849659
"All countries","Cameroon",NA,162484.811182268,2724528.1749372,638132560.665095,213518417.205359,27224262,468477113.643532
"All countries","Cape Verde",NA,3559.77121621761,41962.3601751048,32365711.3785516,12091676.043894,561901,80813776.715319
"All countries","Central African Republic",NA,27739.7901261039,357422.045802223,62679034.862505,16592811.7778704,4919987,28404571.392892
"All countries","Chad",NA,79138.1702882583,1508247.5421729,225533877.888534,62265676.5014203,16914985,179736670.050645
"All countries","Comoros",NA,4844.74660273469,70588.7705121885,34942977.339263,9844865.00582696,888456,11475755.319667
"All countries","Congo",NA,30228.8330052909,348790.938335589,164820202.300871,58005074.1150028,5657017,76155938.57875
"All countries","Cote d'Ivoire",NA,159778.265595556,2899125.04104381,858120757.703386,296854134.168467,27053629,1622154334.87098
"All countries","Democratic Republic of the Congo",NA,456177.893211493,6555152.65855586,1278055011.60191,353301513.726251,92377986,437340493.370411
"All countries","Equatorial Guinea",NA,7030.15210958539,117932.6077546,98470913.3142492,44488918.5862917,1449891,118056275.262124
"All countries","Eritrea",NA,20574.3538996465,229970.079501714,72231624.9536257,19088169.1358734,3213969,14333781.9071253
"All countries","Ethiopia",NA,450269.049330759,5889232.83218815,2654708887.54317,702780418.230099,117876226,1656726219.99187
"All countries","Gabon",NA,10063.7140647169,108879.567472373,120739786.23106,64007421.598969,2278829,338608693.337966
"All countries","Ghana",NA,163441.090820211,2403338.14841329,941510495.976025,361199122.350185,31732128,702389081.754584
"All countries","Guinea",NA,74319.7452223625,1039682.83769096,322250781.160786,91037589.7238881,13497237,284205298.240511
"All countries","Guinea-Bissau",NA,9966.89317807111,139075.882299944,33472891.0518329,9180577.25486264,2015490,20113896.33038
"All countries","Kenya",NA,181019.759051401,2769497.26092106,1397242000.54293,488787892.533747,54985702,5290784978.26286
"All countries","Lesotho",NA,21727.9293944002,309837.148856695,48681652.5561767,20019257.0168157,2159067,87898493.0827582
"All countries","Liberia",NA,21928.0575862076,306772.11679289,86216022.4581208,23861204.6060546,5180208,95968611.5586951
"All countries","Madagascar",NA,158060.86230743,2037328.54452515,678215774.10829,178617845.580908,28427333,501724072.061488
"All countries","Malawi",NA,53217.1657859064,701697.551657153,315329741.729018,81711004.5773758,19647681,265617560.285116
"All countries","Mali",NA,85747.697995836,1295471.83710195,298575136.215318,86259809.791815,20855724,713841491.110379
"All countries","Mauritania",NA,21086.4939292107,335341.880523057,149585954.742345,53389149.1439361,4775110,288637664.901932
"All countries","Mauritius",NA,8901.41303771154,121847.687371744,137814422.573972,99442583.4377535,1266060,514937907.463898
"All countries","Mozambique",NA,155869.696668365,2259239.05768757,583749853.701399,154166548.029297,32163045,683245334.572368
"All countries","Namibia",NA,13335.1402041974,159552.69008751,76520452.0184583,46524914.5598695,2587344,488457876.008352
"All countries","Niger",NA,97713.47173248,1496681.05859138,328971346.041461,87176224.922013,25130810,526887150.747926
"All countries","Nigeria",NA,1232095.12550143,20504337.6166177,5825050406.58494,2084300021.21455,211400704,9143264161.57126
