"HLI_group","Code","DALYs.averted","Incremental.cost","ICER"
"Latin America and the Caribbean",3.4,1673087.57727617,4743286326.95494,2835.0496360012
"Latin America and the Caribbean",3.6,264601.176181486,1467173133.74557,5544.84736205123
"Latin America and the Caribbean",3.7,157090.955699989,2596115385.39718,16526.1925731435
"Latin America and the Caribbean",3.8,2947732.93860788,9094992945.38025,3085.41958678099
"Latin America and the Caribbean",3.9,5715.68989454776,11641424.0511107,2036.74871553398
"Latin America and the Caribbean",4.1,112269.56239169,565736896.464396,5039.09416241092
"Latin America and the Caribbean",4.2,13350.4538117843,76615592.7602139,5738.80063107566
"Latin America and the Caribbean",4.3,63694.6171691543,25809169.992964,405.20174451198
"Latin America and the Caribbean",4.4,59696.0720583728,191415247.261683,3206.49651914301
"Latin America and the Caribbean",5.1,1663747.70395273,6738664.84893189,4.05029250103376
"Latin America and the Caribbean",5.2,409877.195606561,6175459.62310715,15.0666094364394
"Latin America and the Caribbean",5.3,579358.803323747,33192578.7771255,57.2919209766067
"Latin America and the Caribbean",5.4,838549.391914246,17224136.9002965,20.5403963873578
"Latin America and the Caribbean",5.5,1215039.86196088,47645860.2678272,39.2134132874737
"Latin America and the Caribbean",5.6,1016810.93823748,14228730.8019576,13.9934871536899
"Sub-Saharan Africa",1.1,2010944.71887135,1325125.90371018,0.658956902830184
"Sub-Saharan Africa",1.2,77274.4984933293,12357809.8207722,159.920932024412
"Sub-Saharan Africa",2.1,165520.090614422,96341889.8399504,582.055564870239
"Sub-Saharan Africa",2.11,158854.306453451,996813047.297809,6275.01431690747
"Sub-Saharan Africa",2.12,250165.278180851,364933531.730946,1458.76971570421
"Sub-Saharan Africa",2.13,3304264.1910811,72418574.8702208,21.9167023828463
"Sub-Saharan Africa",2.14,354479.480986792,1123030806.89361,3168.1123086937
"Sub-Saharan Africa",2.3,1422438.78793549,5902376610.94029,4149.47670226776
"Sub-Saharan Africa",2.4,4976534.6915169,1609282405.02367,323.37409558641
"Sub-Saharan Africa",2.5,311111.222651785,1002804.71559395,3.22329971592298
"Sub-Saharan Africa",2.6,2807954.50759576,1951873325.65391,695.122844894361
"Sub-Saharan Africa",2.7,2856379.73656868,295360169.113309,103.403677505471
"Sub-Saharan Africa",2.9,241129.30541151,521755403.299437,2163.79922137217
"Sub-Saharan Africa",3.1,1127885.06071562,526009793.250189,466.368260003769
"Sub-Saharan Africa",3.2,6192427.66592202,1787840974.3141,288.714066722635
"Sub-Saharan Africa",3.3,1453388.3525112,589614592.916892,405.682756365939
"Sub-Saharan Africa",3.4,2538557.23380396,2057378746.26407,810.451983854285
"Sub-Saharan Africa",3.6,944834.061777647,540935299.843248,572.518838731863
"Sub-Saharan Africa",3.7,267499.640904898,695152861.292605,2598.70577373876
"Sub-Saharan Africa",3.8,1162371.21650222,2613044662.33692,2248.0293947746
"Sub-Saharan Africa",3.9,22623.9450235532,9103475.07729947,402.382301929308
"Sub-Saharan Africa",4.1,58639.2576952048,236169482.010105,4027.49781106825
"Sub-Saharan Africa",4.2,20827.2910250346,73295753.9564237,3519.21687118702
"Sub-Saharan Africa",4.3,121695.988158564,5819287.79695492,47.8182385878872
"Sub-Saharan Africa",4.4,43310.284681428,36887605.9388676,851.70546003558
"Sub-Saharan Africa",5.1,4729179.10881632,4274997.73299718,0.903961900074277
"Sub-Saharan Africa",5.2,489364.692607111,2733608.79459964,5.58603600933329
"Sub-Saharan Africa",5.3,1057984.54663221,21072637.3648669,19.9177175431773
"Sub-Saharan Africa",5.4,904919.186891462,6449871.6453697,7.12756645985816
"Sub-Saharan Africa",5.5,639054.075439926,15531436.5411536,24.3037907714801
"Sub-Saharan Africa",5.6,497079.665021407,8027960.64595225,16.1502495693654
