"HSP","year","GDP","GGHED","PopTotal"
"HS3",2025,32816491994702.4,1002068371896.34,3177452487
"HS3",2026,34109368083075.5,1044260276323.01,3191768024
"HS3",2027,35624074328084.2,1088697383710.59,3205324220
"HS3",2028,37200960468280.7,1134861501576.07,3218145014
"HS3",2029,38842521380570,1182861752479.99,3230235984
"HS3",2030,40551357796842.7,1232767969676.54,3241605842
"NA",2010,6232919744.24916,73568890.1026894,7527397
"NA",2011,7057205155.50197,92119894.3912911,7697507
"NA",2012,8061184741.82245,129630782.461264,7874838
"NA",2013,8880922863.40186,168764920.506469,8059782
"NA",2014,9486788854.96291,197099719.544972,8252828
"NA",2015,7998169867.25453,163559108.978169,8454019
"NA",2016,7025943549.48566,140619478.285776,8663575
"NA",2017,7111337976.54,149099130.239378,8880270
"NA",2018,7336480362.36659,144506336.338915,9100847
"NA",2019,7843432349.81389,155417932.696716,9321023
"NA",2020,8171255412.81948,162884440.38285,9537642
"NA",2021,8542947148.39938,171314599.643405,9749625
"NA",2022,8899239919.98146,179529331.223695,9957468
"NA",2023,9215181068.4691,187017485.048948,10161632
"NA",2024,9553134253.07629,195038371.50387,10363182
"NA",2025,9903576343.80853,203405211.762712,10563163
"NA",2026,10261582536.5943,212021648.541173,10761454
"NA",2027,10627455994.5186,220897612.177648,10958235
"NA",2028,11002936821.2065,230073270.946987,11155129
"NA",2029,11390410071.5339,239603274.4539,11354291
"NA",2030,11791891781.9767,249535716.526279,11557365
