measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Belarus,Both,Age-standardized,Stomach cancer,Rate,2019,14.104103958107597,17.91661294377132,11.161446652443122
Deaths,Belarus,Both,Age-standardized,Liver cancer,Rate,2019,2.4080306798003663,3.2401239939551814,1.7629135343442264
Deaths,Belarus,Both,Age-standardized,"Tracheal, bronchus, and lung cancer",Rate,2019,22.17475648743449,28.65834452459113,17.257472480546816
Deaths,Mozambique,Both,Age-standardized,Stomach cancer,Rate,2019,7.587811569868447,9.42230503030002,6.063563730563828
Deaths,Mozambique,Both,Age-standardized,Liver cancer,Rate,2019,3.9881974437737577,5.238709322021324,2.7900903798225816
Deaths,Brazil,Both,Age-standardized,"Tracheal, bronchus, and lung cancer",Rate,2019,15.788332450237704,16.61836825888877,14.731591031047042
Deaths,Brazil,Both,Age-standardized,Breast cancer,Rate,2019,8.434649520812554,8.966227526692787,7.832568391521965
Deaths,Brazil,Both,Age-standardized,Cervical cancer,Rate,2019,4.617834971392369,5.491609726031272,4.253030859070447
Deaths,Brazil,Both,Age-standardized,Prostate cancer,Rate,2019,10.539881674945743,15.433322899916808,8.912974785442895
Deaths,Brazil,Both,Age-standardized,Colon and rectum cancer,Rate,2019,11.671759482954497,12.283188290079696,10.808843768739619
Deaths,Brazil,Both,Age-standardized,Lip and oral cavity cancer,Rate,2019,2.3400377972713877,2.47542731089787,2.1811693495486333
Deaths,Albania,Both,Age-standardized,"Tracheal, bronchus, and lung cancer",Rate,2019,26.634490326127676,35.174571091539846,19.721867414959437
Deaths,Albania,Both,Age-standardized,Breast cancer,Rate,2019,6.504593175904347,8.681460205357563,4.827206548315069
Deaths,Albania,Both,Age-standardized,Cervical cancer,Rate,2019,1.638936967825812,2.2602694429957872,1.1616510942783966
Deaths,Albania,Both,Age-standardized,Prostate cancer,Rate,2019,8.873718270623005,15.37575889017979,5.576946767539297
Deaths,Albania,Both,Age-standardized,Colon and rectum cancer,Rate,2019,9.14992321835511,11.890677988637714,6.960388566903708
Deaths,Albania,Both,Age-standardized,Lip and oral cavity cancer,Rate,2019,1.279328491834801,1.668579406010268,0.9669288187334868
Deaths,Angola,Both,Age-standardized,Kidney cancer,Rate,2019,1.1091789578589553,1.5125764588522206,0.7936444658694588
Deaths,Angola,Both,Age-standardized,Bladder cancer,Rate,2019,3.3954111868824577,5.958026374585156,2.26325595244632
Deaths,Qatar,Both,Age-standardized,Esophageal cancer,Rate,2019,4.841924548352025,6.647642372216481,3.384860842698026
Deaths,Qatar,Both,Age-standardized,Stomach cancer,Rate,2019,8.261789707001572,10.357930869787985,6.470246479952778
Deaths,Qatar,Both,Age-standardized,Liver cancer,Rate,2019,15.884532839454058,20.79488198741898,11.758411738447517
Deaths,Qatar,Both,Age-standardized,"Tracheal, bronchus, and lung cancer",Rate,2019,20.74021315371086,26.071088681134814,15.997920433423443
Deaths,Qatar,Both,Age-standardized,Breast cancer,Rate,2019,8.989032711541318,11.170107048137526,7.084444881538111
Deaths,Qatar,Both,Age-standardized,Cervical cancer,Rate,2019,1.186224796601961,1.5721346908326457,0.8992051097274696
Deaths,Qatar,Both,Age-standardized,Prostate cancer,Rate,2019,14.976440340567509,20.360321322197592,10.668900186429225
Deaths,Qatar,Both,Age-standardized,Colon and rectum cancer,Rate,2019,16.475236126738093,20.540893040001784,12.933765799011454
