"Scenario","Deaths.Averted","Dalys.Averted","GDP","Econ.impact"
"Ideal",211443.94381772,4101621.27725811,20110.32,189715307730.279
"Intervention",158061.853173922,3044292.25616067,20110.32,140809890323.3
