"wb2023","Cumulative.deaths.averted","Cumulative.DALYs.averted","Cumulative.incremental.cost","Total.cost.2050","PopTotal","GGHED","Cost.per.capita","Cost.per.GGHED"
"LIC",8845951.57427862,181020464.04251,53787093883.9146,5723174966.75882,1201459503,27998507404.0025,4.76351883061249,0.204410002439654
"LMIC",82162426.8186862,1339325000.24658,475059210389.469,57696320193.6444,4428634572,722794887652.545,13.0280155780811,0.0798239184854052
"UMIC",54597728.5965352,647282389.366296,828877033860.322,156371848533.4,2546142713,2513346050901.51,61.4151939461219,0.0622166010435813
"All countries",145606106.9895,2167627853.65539,1357723338133.71,219791343693.803,8176236788,3264139445958.06,26.8817243669342,0.0673351574994652
