"wb2023","2030, pkg:High","2030, pkg:High + Medium","2040, pkg:High","2040, pkg:High + Medium","2050, pkg:High","2050, pkg:High + Medium"
"LIC",1.83106354264336,2.85869344104831,3.18981406288697,4.9785490132447,4.76351883061249,7.41410302908102
"LMIC",6.28779865122837,10.1050172090883,9.90124452924239,16.3710725443914,13.0280155780811,21.8447525579192
"UMIC",38.2621220615263,61.3767733558395,51.8330383178453,87.2595905606381,61.4151939461219,103.451601415026
"All countries",17.265868318692,27.6974486135799,23.0595984077868,38.6101465299768,26.8817243669342,45.1372338638714
