"HLI_group","Cumulative.deaths.averted","Cumulative.DALYs.averted","Cumulative.incremental.cost","Total.cost.2030","PopTotal","GGHED","Cost.per.capita","Cost.per.GGHED"
"China",10477714.3641824,89696470.4157401,493650439130.88,251659388998.098,1464340150,729999763132.969,171.858559637321,0.344739000897811
"Eurasia and the Mediterranean",14025816.7543741,151561748.30736,292767204260.95,133193483492.637,2029462670,301489649927.723,65.6299253302536,0.441784596998828
"India",10991524.5244377,129053860.73498,160013527498.115,56208182999.0388,1503642327,69426501929.8275,37.3813519277439,0.809607015140284
"Latin America and the Caribbean",2412029.85398259,34634455.8624317,137557047914.907,81113829948.6856,664568078,260288247878.587,122.054959655594,0.311630780912251
"Sub-Saharan Africa",4516899.39628664,71962699.5424947,70421924876.4293,24117381583.5917,1417320309,42366755526.7855,17.0161828843107,0.569252501960977
