wb2021,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097
MIC,9972.87279,10824.9537,11749.86871,12636.58222,13465.32556,14348.50221,15289.6924,16292.71214,17212.21577,18027.21897,18880.90687,19775.11969,20711.78533,21560.73171,22307.80141,23080.85371,23880.79522,24708.56425,25461.63994,26131.55338,26819.19197,27525.02693,28249.54202,28934.55019,29576.28363,30232.34901,30903.06822,31588.77043,32262.62974,32923.24219,33597.47656,34285.61534,34987.94693,35690.93234,36394.03022,37111.07153,37842.33428,38588.10208,39336.03558,40085.68678,40849.71322,41628.39196,42422.00546,43212.87952,44000.29753,44802.15228,45618.70982,46450.2411,47278.63636,48103.18723,48942.20619,49795.94839,50664.67349,51531.97399,52397.25758,53277.1578,54171.92278,55081.80491,55995.27945,56912.01647,57843.84937,58791.02792,59753.80607,60727.66094,61712.6221,62713.65342,63731.01838,64764.98481,65812.93047,66874.98959,67954.28652,69051.10236,70165.72286,71290.84301,72426.39187,73580.13291,74752.35898,75943.36768
UMC,20651.02004,22430.25925,24362.88952,26173.48002,27812.02786,29553.30109,31403.74835,33370.22361,35149.77453,36700.47757,38319.77401,40010.70515,41776.44741,43377.81317,44790.35398,46249.0854,47755.52333,49311.23359,50731.39038,52001.54581,53303.71327,54638.70395,56007.34971,57323.54504,58582.02777,59868.36516,61183.17778,62527.10006,63838.00332,65112.58744,66412.84655,67739.30148,69092.48367,70415.89996,71706.81036,73021.61068,74360.74628,75724.67093,77053.76993,78345.33354,79658.76382,80994.43388,82352.7232,83683.53972,84984.80733,86306.51297,87648.98015,89012.53751,90362.113,91696.41758,93050.61717,94425.01068,95819.90151,97224.11207,98637.43351,100071.4818,101526.563,103002.9877,104503.2629,106027.7902,107574.7315,109144.4184,110737.1875,112355.9434,114001.1404,115670.6057,117364.6994,119083.787,120821.3098,122577.3361,124359.0671,126166.8815,128001.1631,129851.3582,131717.3856,133610.4199,135530.8542,137479.0874
LMIC,3404.826138,3728.076738,4082.016638,4440.116465,4797.842517,5184.427284,5602.201702,6053.685193,6481.522879,6875.907569,7294.333196,7738.267671,8209.268673,8643.350504,9031.843582,9437.844864,9862.145267,10305.57151,10714.51978,11083.40256,11465.03483,11859.85874,12268.33179,12651.8666,13007.28548,13372.74087,13748.51741,14134.90789,14518.78704,14899.3669,15289.97633,15690.88083,16102.35297,16521.87553,16949.51437,17388.27776,17838.45635,18300.34838,18771.58246,19252.26137,19745.30521,20251.0333,20769.77323,21290.4055,21812.41098,22347.27465,22895.31451,23456.85641,24015.41812,24570.13696,25137.73009,25718.4975,26312.74622,26899.50958,27477.68265,28068.34649,28671.77211,29288.23644,29899.30561,30504.09361,31121.17976,31750.81524,32393.2564,33038.15082,33685.1302,34344.848,35017.55619,35703.5117,36396.12175,37095.25123,37807.88028,38534.27071,39274.68944,40017.96881,40763.7356,41523.47481,42297.44938,43085.92726
LIC,822.4511758,874.2521895,929.3788086,994.9504855,1072.623505,1156.382265,1246.705096,1344.10803,1445.721201,1551.362489,1664.745928,1786.4404,1917.056683,2043.8365,2164.816431,2292.980695,2428.757147,2572.599184,2706.517678,2828.132071,2955.234675,3088.074079,3226.910171,3357.510284,3478.393209,3603.651482,3733.444176,3867.936168,3997.974868,4122.793568,4251.531312,4384.311734,4521.262384,4660.090814,4800.706734,4945.587147,5094.861933,5248.664949,5409.398679,5577.411399,5750.664266,5929.321303,6113.55168,6307.428357,6511.500481,6722.197767,6939.73594,7164.337772,7400.88193,7650.0652,7907.66264,8173.959099,8449.249093,8737.822794,9040.402591,9353.487417,9677.442827,10012.64713,10363.55771,10731.00638,11111.51364,11505.54457,11913.5808,12335.45706,12771.61929,13223.23886,13690.86472,14175.06531,14670.44317,15176.97934,15701.04505,16243.24818,16804.21774,17372.94922,17948.93318,18544.06069,19158.96942,19794.31832
LIC/LMC,2892.553208,3154.923132,3441.097891,3732.140464,4025.073002,4341.033806,4681.835811,5049.434865,5398.100829,5720.18861,6061.534961,6423.293605,6806.687501,7159.788957,7475.678772,7805.548165,8150.01746,8509.734575,8840.352048,9137.32263,9444.313551,9761.664203,10089.72551,10396.70327,10680.03318,10971.12987,11270.20727,11577.48526,11881.59659,12181.856,12489.74894,12805.47046,13129.22059,13459.04377,13794.98456,14139.35718,14492.37422,14854.2537,15224.13312,15602.15677,15989.61366,16386.7402,16793.77871,17203.91714,17616.89052,18039.82588,18472.96453,18916.55365,19360.3467,19803.86122,20257.58607,20721.75727,21196.61634,21668.91909,22138.01444,22617.31729,23107.05074,23607.44275,24107.83019,24607.75573,25118.10223,25639.08787,26170.93542,26708.40158,27251.38077,27805.45658,28370.85679,28947.81387,29533.07664,30126.67331,30732.26084,31350.08246,31980.38638,32615.55744,33255.38491,33907.82889,34573.13924,35251.5708
USA,258084.9273,260060.3147,262065.8657,265617.2711,270766.1349,276015.7926,281368.2325,286825.4824,292318.7949,297846.0757,303478.7507,309218.8433,315068.4155,320897.6406,326701.0926,332610.1203,338626.6538,344752.6586,350864.1805,356956.4612,363155.0621,369461.8465,375878.7107,382274.4078,388644.0483,395120.3255,401705.0319,408399.9901,414988.7879,421462.7064,428038.1056,434716.5827,441499.7603,448203.9631,454822.429,461539.1556,468355.6082,475273.2742,482141.2502,488954.5043,495864.6584,502873.0977,509981.2278,517122.2364,524294.8061,531567.6571,538942.2004,546419.8671,553953.0078,561541.1756,569234.2821,577033.7892,584941.1796,592918.4806,600965.7031,609123.3314,617392.8927,625775.9358,634236.5342,642774.7517,651429.1545,660201.3368,669092.9146,678042.4308,687048.9417,696176.2992,705426.1373,714800.1124,724190.0601,733593.2658,743119.7268,752771.0709,762548.9472,772360.2577,782202.9487,792172.1736,802269.5704,812496.7983
