"iso3","year","sex","age","all_mxn","ncd_mxn","ncd_frac"
"AFG",2040,1,0,0.0149410453780463,0.00284370407312267,0.190328320486938
"AFG",2040,2,0,0.0126640681937223,0.00234103479568032,0.184856458435749
"AFG",2040,1,1,0.000608694338426476,0.000121223282452922,0.199152965290089
"AFG",2040,2,1,0.000627556348066122,0.000107357657790754,0.171072538938674
"AFG",2040,1,5,0.000213045928418803,3.42422677955992e-06,0.016072716362026
"AFG",2040,2,5,0.000187143130935595,2.05554461600794e-06,0.0109838101229339
"AFG",2040,1,10,0.000211296692635022,2.11598392150627e-06,0.0100142784778996
"AFG",2040,2,10,0.000175109449550903,1.49012568621154e-06,0.0085096817449499
"AFG",2040,1,15,0.000670437039986769,0.000148987625199916,0.222224633058544
"AFG",2040,2,15,0.000325724408100197,6.09574005675633e-05,0.1871440980524
"AFG",2040,1,20,0.00135778592313888,0.00024292805383617,0.178914841946938
"AFG",2040,2,20,0.00047095683042814,0.000100470876901282,0.213333516810756
"AFG",2040,1,25,0.00140541947359707,0.000393623582622493,0.280075514831911
"AFG",2040,2,25,0.000557786589851786,0.000153545782339506,0.2752769341054
"AFG",2040,1,30,0.00151978367543695,0.000409362112093185,0.269355513359814
"AFG",2040,2,30,0.000730441586075398,0.000224382134745418,0.307186966107728
"AFG",2040,1,35,0.00180420682494986,0.000710212596053115,0.393642561502256
"AFG",2040,2,35,0.00101063785343378,0.000388410320529746,0.384321959849484
"AFG",2040,1,40,0.00239251323161404,0.00134979681089434,0.564175275212058
"AFG",2040,2,40,0.00148730563794465,0.00067005093075143,0.4505132728989
"AFG",2040,1,45,0.00358300889342092,0.0022639512741081,0.631857564815187
"AFG",2040,2,45,0.00230799837049392,0.00175987402059773,0.762510945889928
"AFG",2040,1,50,0.00553837944115196,0.00410906490409586,0.741925494227458
"AFG",2040,2,50,0.00366066726278446,0.00311232785846794,0.850207799574925
"AFG",2040,1,55,0.00900292275868456,0.0072490800568823,0.805191852822414
"AFG",2040,2,55,0.00585160814808839,0.00517768386410136,0.88483092733966
"AFG",2040,1,60,0.0141060118426423,0.0122121991975195,0.865744289296723
"AFG",2040,2,60,0.00960269113714539,0.00858878895117719,0.894414787324961
"AFG",2040,1,65,0.0220815595528975,0.0194940650255988,0.88282102443443
"AFG",2040,2,65,0.0160356366247155,0.0147802105433566,0.921710243831295
"AFG",2040,1,70,0.0355383558374664,0.031043119248864,0.873510282547643
"AFG",2040,2,70,0.0278051531494528,0.0254683683839349,0.915958572392763
"AFG",2040,1,75,0.0572984058989696,0.0505760827143636,0.882678704945841
"AFG",2040,2,75,0.0474485722674717,0.0438324585953265,0.923788778052987
"AFG",2040,1,80,0.094203285924941,0.0829176169761087,0.880198776104004
"AFG",2040,2,80,0.0826442024471627,0.0767176200867161,0.928287984093794
"AFG",2040,1,85,0.16793792678176,0.144127742011949,0.858220324460997
"AFG",2040,2,85,0.151341214954084,0.139719911885349,0.923211247694419
"AGO",2040,1,0,0.0163147210092083,0.00304396657524739,0.186577911662071
"AGO",2040,2,0,0.0140859318286936,0.00249115917409903,0.176854410797619
"AGO",2040,1,1,0.00115231249234733,0.000191987169507809,0.166610334247718
"AGO",2040,2,1,0.000921248597058262,0.000149516620298625,0.162297799721012
"AGO",2040,1,5,0.000321990929125992,3.73700669757295e-05,0.116059378061259
"AGO",2040,2,5,0.000255131727673675,3.15897187576155e-05,0.123817288604811
"AGO",2040,1,10,0.000280373805396488,4.60278884146508e-05,0.164166150791301
"AGO",2040,2,10,0.000221747326316541,4.19949473662186e-05,0.189381978415701
"AGO",2040,1,15,0.00050575622783826,9.73931735344537e-05,0.192569400382352
"AGO",2040,2,15,0.000363610631660538,5.54879890547644e-05,0.152602768520166
"AGO",2040,1,20,0.000795027225921294,0.000140669111630558,0.176936219344624
"AGO",2040,2,20,0.000509850355693014,7.05473301906286e-05,0.138368698585563
"AGO",2040,1,25,0.000968125939054824,0.000193239052334901,0.199601151605915
"AGO",2040,2,25,0.000640286624113359,8.92233893203673e-05,0.139349138276815
"AGO",2040,1,30,0.00131941184459089,0.000214898076435509,0.1628741452614
"AGO",2040,2,30,0.000878485183092888,0.00013538224440602,0.154108739693684
"AGO",2040,1,35,0.00189561685602714,0.000386675409961879,0.203983947880838
"AGO",2040,2,35,0.00124931171651058,0.000248668096524774,0.199044076220883
"AGO",2040,1,40,0.00275787711734324,0.000804762256697447,0.291804972613393
"AGO",2040,2,40,0.00180487616668887,0.000506505230702427,0.280631569107389
"AGO",2040,1,45,0.00414883639283594,0.0017651349705437,0.425453019451833
"AGO",2040,2,45,0.00267350726552304,0.00127150165859697,0.475593118819602
"AGO",2040,1,50,0.00632651705260032,0.00309454856375755,0.489139369739884
"AGO",2040,2,50,0.00414605174470719,0.00227568757463531,0.548880649533724
"AGO",2040,1,55,0.00944487420432189,0.00541922742706702,0.573774442076448
"AGO",2040,2,55,0.00638421704708668,0.00407590745126748,0.638434975065179
"AGO",2040,1,60,0.0145674940492337,0.00978507148872833,0.671705885422556
"AGO",2040,2,60,0.0103385700609268,0.00719674466173948,0.696106387955775
"AGO",2040,1,65,0.0221863509978456,0.0160031110021435,0.72130432821952
"AGO",2040,2,65,0.0167333527083533,0.0126468288431992,0.755785709153545
"AGO",2040,1,70,0.0351720118158817,0.026188806592633,0.744592226618314
"AGO",2040,2,70,0.028324998805666,0.0224873716888849,0.793905477037005
"AGO",2040,1,75,0.0550467017673022,0.0415737819019707,0.755245647190902
"AGO",2040,2,75,0.046543749836717,0.0375188739425516,0.806099080417326
"AGO",2040,1,80,0.0874442651348085,0.0655646770099996,0.749788186897355
"AGO",2040,2,80,0.0769543904518762,0.0620487172151024,0.806305096444171
"AGO",2040,1,85,0.15302722954147,0.1135419592803,0.741972259580968
"AGO",2040,2,85,0.140659569140842,0.111754242164052,0.794501524828027
"ARE",2040,1,0,0.00182437583246895,0.000796759298679468,0.436729803420605
"ARE",2040,2,0,0.00147270989072527,0.00061726241220566,0.419133745276658
"ARE",2040,1,1,5.38165354811201e-05,3.11541330574986e-05,0.578895181173974
"ARE",2040,2,1,4.8581296e-05,2.61887258678824e-05,0.539070136537371
"ARE",2040,1,5,2.2806606e-05,1.16450249710597e-05,0.510598769981807
"ARE",2040,2,5,2.2806606e-05,1.17510397023e-05,0.515247192076715
"ARE",2040,1,10,2.7687547e-05,1.36355596887116e-05,0.492479875111781
"ARE",2040,2,10,2.7687547e-05,1.46245760212351e-05,0.528200494656861
"ARE",2040,1,15,8.31785876119855e-05,3.10036500299896e-05,0.372735951884835
"ARE",2040,2,15,5.8842656e-05,3.22285945502205e-05,0.547708018995956
"ARE",2040,1,20,0.000108899585729084,3.54995165379923e-05,0.325983944753532
"ARE",2040,2,20,8.7705324e-05,4.74831201407637e-05,0.541393817104691
"ARE",2040,1,25,0.000101818187036437,3.92944021208435e-05,0.385927143907812
"ARE",2040,2,25,9.8944918e-05,5.61402125398022e-05,0.567388539750997
"ARE",2040,1,30,0.00013651677,5.95401809309683e-05,0.436138218996599
"ARE",2040,2,30,0.00013651677,4.42097796863115e-05,0.323841383635955
"ARE",2040,1,35,0.00022466527,0.000115730147140983,0.515122551611929
"ARE",2040,2,35,0.00022466527,9.58563651065962e-05,0.426663031213486
"ARE",2040,1,40,0.0003807254,0.000233051904411987,0.612125969036966
"ARE",2040,2,40,0.0003807254,0.000188557311009212,0.495258028514021
"ARE",2040,1,45,0.000699425607043395,3.11916310838446e-05,0.0445960667864272
"ARE",2040,2,45,0.00066514022,0.000298113197405615,0.448196017082856
"ARE",2040,1,50,0.00142746239178618,6.70028037218521e-05,0.0469384020954917
"ARE",2040,2,50,0.0010005542,0.00052688625051725,0.526594411894178
"ARE",2040,1,55,0.0028176308844408,9.73422914181745e-05,0.0345475668781553
"ARE",2040,2,55,0.00174358123947296,0.000984797804260507,0.564813260182925
