"","Region","2023","2030"
"1","Central and Eastern Europe",21.7914174874872,19.9580460617702
"2","Central Asia, Middle East and North Africa",27.6837624195018,29.4162729363945
"3","East and South East Asia",21.2782026323675,19.1287064474485
"4","Latin America and Caribbean",16.9799021379752,16.55812994834
"5","Oceania",15.6087836824662,15.3436751430934
"6","South Asia",43.5014980899685,47.8206515676852
"7","Sub-Saharan Africa",18.7138157907666,19.4914868988995
"8","All",19.4746928206425,20.6252099945881
