"","year_id","Adjusted.cost","Baseline.cost","DALYS.ave","Deaths.Avert"
"1",2023,1211905.06493561,0,0,11678.3063737971
"2",2024,2446324.69086197,0,153499.063480616,29994.3276067744
"3",2025,3702646.90878285,0,400335.478690758,54196.5885690416
"4",2026,4980120.60570629,0,733234.324901223,84328.6113898291
"5",2027,6277853.69791255,0,1147022.9112035,119428.612670385
"6",2028,7595181.17020406,0,1637162.76902421,158923.582133224
"7",2029,8931624.62046263,0,2200269.09438647,202370.686416596
"8",2030,10286788.7333158,0,2833900.62906161,249477.435605047
