"","location_name","Deaths.averted","DALYs.averted","Incremental.cost","ICER"
"1","Maldives",1083.37625261879,10001.3588555899,99996375.6851222,9998.27894678857
"2","Timor-Leste",6689.95253902068,64585.526682412,120111941.622786,1859.73464633052
